costat,curcdq,datafmt,indfmt,consol,tic,datadate,gvkey,dd1q,dlttq,dpq,findlcq,findltq,niq,revtq,saleq,wcapq,capxy,dlcchy,dltisy,dltry,dpcy,dpy,oancfy,wcapcy
A,USD,STD,INDL,C,CAT,2022-09-30,002817,6814.0000,25509.0000,551.0000,6694.0000,16030.0000,2041.0000,14994.0000,14994.0000,12375.0000,1891.0000,-1311.0000,5570.0000,5289.0000,1661.0000,1661.0000,5027.0000,
A,USD,STD,INDL,C,CAT,2009-03-31,002817,,23466.0000,534.0000,,,-112.0000,9225.0000,9225.0000,7583.0000,445.0000,-1779.0000,4818.0000,3321.0000,534.0000,534.0000,895.0000,
A,USD,STD,INDL,C,CAT,2009-06-30,002817,,23558.0000,538.0000,,,371.0000,7975.0000,7975.0000,7893.0000,884.0000,-3365.0000,9029.0000,7570.0000,1072.0000,1072.0000,2803.0000,
A,USD,STD,INDL,C,CAT,2009-09-30,002817,,23069.0000,561.0000,,,404.0000,7298.0000,7298.0000,8266.0000,1498.0000,-3686.0000,10869.0000,10816.0000,1633.0000,1633.0000,4518.0000,
A,USD,STD,INDL,C,CAT,2009-12-31,002817,,21847.0000,703.0000,,,232.0000,7898.0000,7898.0000,7497.0000,2316.0000,-3884.0000,12537.0000,12933.0000,2336.0000,2336.0000,6343.0000,
A,USD,STD,INDL,C,CAT,2010-03-31,002817,,21548.0000,554.0000,4794.0000,16413.0000,233.0000,8238.0000,8238.0000,7995.0000,373.0000,331.0000,1318.0000,3336.0000,554.0000,554.0000,551.0000,
A,USD,STD,INDL,C,CAT,2010-06-30,002817,,20226.0000,562.0000,4846.0000,15398.0000,707.0000,10409.0000,10409.0000,7592.0000,856.0000,-136.0000,4251.0000,6471.0000,1116.0000,1116.0000,1743.0000,
A,USD,STD,INDL,C,CAT,2010-09-30,002817,,20337.0000,565.0000,4164.0000,15800.0000,792.0000,11134.0000,11134.0000,8399.0000,1550.0000,-330.0000,5928.0000,9216.0000,1681.0000,1681.0000,2832.0000,
A,USD,STD,INDL,C,CAT,2010-12-31,002817,,20437.0000,615.0000,3430.0000,15932.0000,968.0000,12807.0000,12807.0000,9790.0000,2586.0000,291.0000,8324.0000,12461.0000,2296.0000,2296.0000,5009.0000,
A,USD,STD,INDL,C,CAT,2011-03-31,002817,4354.0000,19895.0000,575.0000,3934.0000,15428.0000,1225.0000,12949.0000,12949.0000,11461.0000,760.0000,1460.0000,1305.0000,1775.0000,575.0000,575.0000,765.0000,
A,USD,STD,INDL,C,CAT,2011-06-30,002817,4088.0000,25926.0000,599.0000,3891.0000,17013.0000,1015.0000,14230.0000,14230.0000,17245.0000,1504.0000,36.0000,10329.0000,5125.0000,1174.0000,1174.0000,3294.0000,
A,USD,STD,INDL,C,CAT,2011-09-30,002817,3594.0000,26781.0000,658.0000,3522.0000,17878.0000,1141.0000,15716.0000,15716.0000,11646.0000,2499.0000,-766.0000,13247.0000,8283.0000,1832.0000,1832.0000,5515.0000,
A,USD,STD,INDL,C,CAT,2011-12-31,002817,5660.0000,24944.0000,695.0000,5102.0000,16529.0000,1547.0000,17243.0000,17243.0000,9567.0000,3924.0000,-43.0000,15460.0000,10593.0000,2527.0000,2527.0000,7010.0000,
A,USD,STD,INDL,C,CAT,2012-03-31,002817,5988.0000,25191.0000,661.0000,5433.0000,16780.0000,1586.0000,15981.0000,15981.0000,11360.0000,1129.0000,855.0000,2502.0000,2227.0000,661.0000,661.0000,330.0000,
A,USD,STD,INDL,C,CAT,2012-06-30,002817,7008.0000,27261.0000,689.0000,5739.0000,18092.0000,1699.0000,17374.0000,17374.0000,13021.0000,2295.0000,552.0000,9019.0000,5033.0000,1350.0000,1350.0000,2007.0000,
