costat,curcdq,datafmt,indfmt,consol,tic,datadate,gvkey,dd1q,dlttq,dpq,findlcq,findltq,niq,revtq,saleq,wcapq,capxy,dlcchy,dltisy,dltry,dpcy,dpy,oancfy,wcapcy
A,USD,STD,INDL,C,GOOGL,2009-03-31,160329,,0.0000,399.3290,,,1422.8280,5508.9900,5508.9900,19896.9480,262.7550,0.0000,0.0000,0.0000,403.2220,399.3290,2249.5120,
A,USD,STD,INDL,C,GOOGL,2009-06-30,160329,,0.0000,375.4820,,,1484.5450,5522.8970,5522.8970,21833.8910,402.1920,0.0000,0.0000,0.0000,780.1790,774.8110,3858.6840,
A,USD,STD,INDL,C,GOOGL,2009-09-30,160329,,0.0000,374.4020,,,1638.9750,5944.8510,5944.8510,24031.7700,588.5310,0.0000,0.0000,0.0000,1158.8020,1149.2130,6584.6670,
A,USD,STD,INDL,C,GOOGL,2009-12-31,160329,,0.0000,357.0170,,,1974.1000,6673.8250,6673.8250,26419.4910,809.8880,0.0000,0.0000,0.0000,1524.3080,1506.2300,9316.1980,
A,USD,STD,INDL,C,GOOGL,2010-03-31,160329,,0.0000,327.0000,,,1955.0000,6775.0000,6775.0000,28210.0000,239.0000,0.0000,0.0000,0.0000,331.0000,327.0000,2584.0000,
A,USD,STD,INDL,C,GOOGL,2010-06-30,160329,,0.0000,336.0000,,,1840.0000,6820.0000,6820.0000,29414.0000,715.0000,0.0000,0.0000,0.0000,673.0000,663.0000,4669.0000,
A,USD,STD,INDL,C,GOOGL,2010-09-30,160329,,0.0000,343.0000,,,2167.0000,7286.0000,7286.0000,30917.0000,1473.0000,2121.0000,0.0000,0.0000,1015.0000,1006.0000,7555.0000,
A,USD,STD,INDL,C,GOOGL,2010-12-31,160329,,0.0000,375.0000,,,2543.0000,8440.0000,8440.0000,31566.0000,4018.0000,3463.0000,0.0000,0.0000,1396.0000,1381.0000,11081.0000,
A,USD,STD,INDL,C,GOOGL,2011-03-31,160329,0.0000,0.0000,396.0000,,,1798.0000,8575.0000,8575.0000,33978.0000,890.0000,-251.0000,0.0000,0.0000,401.0000,396.0000,3172.0000,
A,USD,STD,INDL,C,GOOGL,2011-06-30,160329,0.0000,2985.0000,453.0000,,,2506.0000,9027.0000,9027.0000,38644.0000,1807.0000,,8030.0000,7304.0000,856.0000,849.0000,6691.0000,
A,USD,STD,INDL,C,GOOGL,2011-09-30,160329,0.0000,2986.0000,489.0000,,,2729.0000,9720.0000,9720.0000,41154.0000,2487.0000,,8780.0000,8054.0000,1348.0000,1338.0000,10641.0000,
A,USD,STD,INDL,C,GOOGL,2011-12-31,160329,0.0000,2986.0000,499.0000,,,2704.0000,10583.0000,10583.0000,43845.0000,3438.0000,,10905.0000,10179.0000,1851.0000,1837.0000,14565.0000,
A,USD,STD,INDL,C,GOOGL,2012-03-31,160329,0.0000,2987.0000,502.0000,,,2890.0000,10645.0000,10645.0000,47117.0000,607.0000,,3149.0000,1900.0000,511.0000,502.0000,3694.0000,
A,USD,STD,INDL,C,GOOGL,2012-06-30,160329,0.0000,2987.0000,656.0000,,,2785.0000,11807.0000,11807.0000,39829.0000,1381.0000,,7751.0000,5753.0000,1181.0000,1158.0000,7946.0000,
A,USD,STD,INDL,C,GOOGL,2012-09-30,160329,0.0000,2988.0000,794.0000,,,2176.0000,13304.0000,13304.0000,42387.0000,2253.0000,,12125.0000,10128.0000,2009.0000,1952.0000,11950.0000,
A,USD,STD,INDL,C,GOOGL,2012-12-31,160329,0.0000,2988.0000,920.0000,,,2886.0000,14419.0000,14419.0000,46117.0000,3273.0000,,16109.0000,14781.0000,2962.0000,2872.0000,16619.0000,
