costat,curcdq,datafmt,indfmt,consol,tic,datadate,gvkey,dd1q,dlttq,dpq,findlcq,findltq,niq,revtq,saleq,wcapq,capxy,dlcchy,dltisy,dltry,dpcy,dpy,oancfy,wcapcy
A,USD,STD,INDL,C,JNJ,2009-03-31,006266,,8052.0000,676.0000,,,3507.0000,15026.0000,15026.0000,13514.0000,435.0000,2219.0000,2.0000,9.0000,676.0000,676.0000,2827.0000,
A,USD,STD,INDL,C,JNJ,2009-06-30,006266,,8179.0000,679.0000,,,3208.0000,15239.0000,15239.0000,15608.0000,1002.0000,1751.0000,9.0000,16.0000,1355.0000,1355.0000,6190.0000,
A,USD,STD,INDL,C,JNJ,2009-09-30,006266,,8259.0000,675.0000,,,3345.0000,15081.0000,15081.0000,16357.0000,1521.0000,-109.0000,9.0000,224.0000,2030.0000,2030.0000,11284.0000,
A,USD,STD,INDL,C,JNJ,2009-12-31,006266,,8223.0000,744.0000,,,2206.0000,16551.0000,16551.0000,17810.0000,2365.0000,2693.0000,9.0000,219.0000,2774.0000,2774.0000,16571.0000,
A,USD,STD,INDL,C,JNJ,2010-03-31,006266,,8059.0000,734.0000,,,4526.0000,15631.0000,15631.0000,20362.0000,397.0000,-2328.0000,0.0000,8.0000,734.0000,734.0000,3690.0000,
A,USD,STD,INDL,C,JNJ,2010-06-30,006266,,7937.0000,711.0000,,,3449.0000,15330.0000,15330.0000,21859.0000,897.0000,-2642.0000,0.0000,12.0000,1445.0000,1445.0000,7527.0000,
A,USD,STD,INDL,C,JNJ,2010-09-30,006266,,9182.0000,725.0000,,,3417.0000,14982.0000,14982.0000,25303.0000,1425.0000,-3494.0000,1079.0000,21.0000,2170.0000,2170.0000,12561.0000,
A,USD,STD,INDL,C,JNJ,2010-12-31,006266,,9156.0000,769.0000,,,1942.0000,15644.0000,15644.0000,24235.0000,2384.0000,1309.0000,1118.0000,32.0000,2939.0000,2939.0000,16385.0000,
A,USD,STD,INDL,C,JNJ,2011-03-31,006266,,9255.0000,755.0000,,,3476.0000,16173.0000,16173.0000,25210.0000,436.0000,900.0000,8.0000,3.0000,755.0000,755.0000,2316.0000,
A,USD,STD,INDL,C,JNJ,2011-06-30,006266,,13680.0000,777.0000,,,2776.0000,16597.0000,16597.0000,31688.0000,1054.0000,-2608.0000,4404.0000,5.0000,1532.0000,1532.0000,6225.0000,
A,USD,STD,INDL,C,JNJ,2011-09-30,006266,,13031.0000,783.0000,,,3202.0000,16005.0000,16005.0000,31757.0000,1765.0000,-2828.0000,4471.0000,12.0000,2315.0000,2315.0000,10847.0000,
A,USD,STD,INDL,C,JNJ,2011-12-31,006266,,12969.0000,843.0000,,,218.0000,16255.0000,16255.0000,31505.0000,2893.0000,-1471.0000,4470.0000,16.0000,3158.0000,3158.0000,14298.0000,
A,USD,STD,INDL,C,JNJ,2012-03-31,006266,,13010.0000,773.0000,,,3910.0000,16139.0000,16139.0000,35809.0000,502.0000,-243.0000,2.0000,30.0000,773.0000,773.0000,2795.0000,
A,USD,STD,INDL,C,JNJ,2012-06-30,006266,,11525.0000,852.0000,,,1408.0000,16475.0000,16475.0000,17767.0000,1100.0000,-2262.0000,6.0000,10.0000,1625.0000,1625.0000,7523.0000,
A,USD,STD,INDL,C,JNJ,2012-09-30,006266,,11428.0000,1005.0000,,,2968.0000,17052.0000,17052.0000,20856.0000,1782.0000,-2174.0000,16.0000,796.0000,2630.0000,2630.0000,12020.0000,
A,USD,STD,INDL,C,JNJ,2012-12-31,006266,1512.0000,11489.0000,1036.0000,,,2567.0000,17558.0000,17558.0000,21854.0000,2934.0000,-2907.0000,45.0000,804.0000,3666.0000,3666.0000,15396.0000,
A,USD,STD,INDL,C,JNJ,2013-03-31,006266,,11363.0000,1036.0000,,,3497.0000,17505.0000,17505.0000,24704.0000,586.0000,-229.0000,6.0000,1.0000,1036.0000,1036.0000,2277.0000,
A,USD,STD,INDL,C,JNJ,2013-06-30,006266,,9643.0000,990.0000,,,3833.0000,17877.0000,17877.0000,27506.0000,1357.0000,408.0000,6.0000,1504.0000,2026.0000,2026.0000,7328.0000,
A,USD,STD,INDL,C,JNJ,2013-09-30,006266,,9748.0000,976.0000,,,2982.0000,17575.0000,17575.0000,26341.0000,2166.0000,354.0000,51.0000,1531.0000,3002.0000,3002.0000,13275.0000,
A,USD,STD,INDL,C,JNJ,2013-12-31,006266,1769.0000,13328.0000,1102.0000,,,3519.0000,18355.0000,18355.0000,30732.0000,3595.0000,14.0000,3607.0000,1593.0000,4104.0000,4104.0000,17414.0000,
A,USD,STD,INDL,C,JNJ,2014-03-31,006266,,13343.0000,1013.0000,,,4727.0000,18115.0000,18115.0000,33529.0000,630.0000,-997.0000,16.0000,21.0000,1013.0000,1013.0000,3923.0000,
A,USD,STD,INDL,C,JNJ,2014-06-30,006266,,13303.0000,952.0000,,,4326.0000,19495.0000,19495.0000,35760.0000,1467.0000,602.0000,13.0000,1777.0000,1965.0000,1965.0000,9452.0000,
A,USD,STD,INDL,C,JNJ,2014-09-30,006266,,13152.0000,939.0000,,,4749.0000,18467.0000,18467.0000,36991.0000,2218.0000,-1084.0000,17.0000,1787.0000,2904.0000,2904.0000,14106.0000,
A,USD,STD,INDL,C,JNJ,2014-12-31,006266,7.0000,15122.0000,991.0000,,,2521.0000,18254.0000,18254.0000,34226.0000,3714.0000,596.0000,2098.0000,1844.0000,3895.0000,3895.0000,18471.0000,
A,USD,STD,INDL,C,JNJ,2015-03-31,006266,,14938.0000,895.0000,,,4320.0000,17374.0000,17374.0000,34356.0000,543.0000,396.0000,3.0000,16.0000,895.0000,895.0000,2872.0000,
A,USD,STD,INDL,C,JNJ,2015-06-30,006266,,14085.0000,889.0000,,,4516.0000,17787.0000,17787.0000,36489.0000,1308.0000,679.0000,3.0000,21.0000,1784.0000,1784.0000,8072.0000,
A,USD,STD,INDL,C,JNJ,2015-09-30,006266,,14073.0000,929.0000,,,3358.0000,17102.0000,17102.0000,38234.0000,2097.0000,1177.0000,3.0000,27.0000,2713.0000,2713.0000,14197.0000,
A,USD,STD,INDL,C,JNJ,2015-12-31,006266,2104.0000,12857.0000,1033.0000,,,3215.0000,17811.0000,17811.0000,32463.0000,3463.0000,1372.0000,75.0000,68.0000,3746.0000,3746.0000,19279.0000,
A,USD,STD,INDL,C,JNJ,2016-03-31,006266,,20233.0000,891.0000,,,4457.0000,17482.0000,17482.0000,40604.0000,639.0000,-4077.0000,7435.0000,14.0000,891.0000,891.0000,1763.0000,
A,USD,STD,INDL,C,JNJ,2016-06-30,006266,,24535.0000,900.0000,,,3997.0000,18482.0000,18482.0000,44755.0000,1396.0000,-4569.0000,11951.0000,936.0000,1791.0000,1791.0000,6753.0000,
A,USD,STD,INDL,C,JNJ,2016-09-30,006266,,23546.0000,908.0000,,,4272.0000,17820.0000,17820.0000,40089.0000,2133.0000,-3777.0000,11951.0000,953.0000,2699.0000,2699.0000,12114.0000,
A,USD,STD,INDL,C,JNJ,2016-12-31,006266,1704.0000,22442.0000,1055.0000,,,3814.0000,18106.0000,18106.0000,38745.0000,3226.0000,-1906.0000,12004.0000,2223.0000,3754.0000,3754.0000,18767.0000,
A,USD,STD,INDL,C,JNJ,2017-03-31,006266,,27015.0000,912.0000,,,4422.0000,17766.0000,17766.0000,38228.0000,560.0000,524.0000,4464.0000,2.0000,912.0000,912.0000,2913.0000,
A,USD,STD,INDL,C,JNJ,2017-06-30,006266,,27363.0000,1150.0000,,,3827.0000,18839.0000,18839.0000,9917.0000,1249.0000,2455.0000,4464.0000,15.0000,2062.0000,2062.0000,8685.0000,
A,USD,STD,INDL,C,JNJ,2017-09-30,006266,,26675.0000,1711.0000,,,3764.0000,19650.0000,19650.0000,10023.0000,2039.0000,3824.0000,4465.0000,1024.0000,3773.0000,3773.0000,14951.0000,
A,USD,STD,INDL,C,JNJ,2017-12-31,006266,1499.0000,30675.0000,1869.0000,,,-10713.0000,20195.0000,20195.0000,12551.0000,3279.0000,-461.0000,8992.0000,1777.0000,5642.0000,5642.0000,21056.0000,
A,USD,STD,INDL,C,JNJ,2018-03-31,006266,,29837.0000,1746.0000,,,4367.0000,20009.0000,20009.0000,15687.0000,658.0000,-2458.0000,2.0000,8.0000,1746.0000,1746.0000,3606.0000,
A,USD,STD,INDL,C,JNJ,2018-06-30,006266,,29405.0000,1717.0000,,,3954.0000,20830.0000,20830.0000,17950.0000,1533.0000,-2406.0000,3.0000,9.0000,3463.0000,3463.0000,9685.0000,
A,USD,STD,INDL,C,JNJ,2018-09-30,006266,,29480.0000,1731.0000,,,3934.0000,20348.0000,20348.0000,19757.0000,2352.0000,-2325.0000,6.0000,910.0000,5194.0000,5194.0000,15957.0000,
A,USD,STD,INDL,C,JNJ,2018-12-31,006266,2636.0000,27684.0000,1735.0000,,,3042.0000,20394.0000,20394.0000,14803.0000,3670.0000,-2399.0000,5.0000,1555.0000,6929.0000,6929.0000,22201.0000,
A,USD,STD,INDL,C,JNJ,2019-03-31,006266,,28316.0000,1761.0000,,,3749.0000,20021.0000,20021.0000,12876.0000,656.0000,-3.0000,0.0000,1002.0000,1761.0000,1761.0000,3543.0000,
A,USD,STD,INDL,C,JNJ,2019-06-30,006266,,28448.0000,1705.0000,,,5607.0000,20562.0000,20562.0000,10446.0000,1493.0000,3.0000,1.0000,1005.0000,3466.0000,3466.0000,9491.0000,
A,USD,STD,INDL,C,JNJ,2019-09-30,006266,,27645.0000,1727.0000,,,1753.0000,20729.0000,20729.0000,9171.0000,2238.0000,61.0000,1.0000,1008.0000,5193.0000,5193.0000,17018.0000,
A,USD,STD,INDL,C,JNJ,2019-12-31,006266,1369.0000,27210.0000,1816.0000,,,4010.0000,20747.0000,20747.0000,9310.0000,3498.0000,-61.0000,3.0000,2823.0000,7009.0000,7009.0000,23416.0000,
A,USD,STD,INDL,C,JNJ,2020-03-31,006266,,25393.0000,1747.0000,,,5796.0000,20691.0000,20691.0000,10537.0000,625.0000,-8.0000,0.0000,11.0000,1747.0000,1747.0000,3358.0000,
A,USD,STD,INDL,C,JNJ,2020-06-30,006266,,25062.0000,1726.0000,,,3626.0000,18336.0000,18336.0000,9120.0000,1287.0000,2700.0000,1.0000,11.0000,3473.0000,3473.0000,6810.0000,
A,USD,STD,INDL,C,JNJ,2020-09-30,006266,,32680.0000,1818.0000,,,3554.0000,21082.0000,21082.0000,18731.0000,2024.0000,3025.0000,7431.0000,562.0000,5291.0000,5291.0000,15193.0000,
A,USD,STD,INDL,C,JNJ,2020-12-31,006266,1799.0000,32635.0000,1940.0000,,,1738.0000,22475.0000,22475.0000,8744.0000,3347.0000,728.0000,7431.0000,1064.0000,7231.0000,7231.0000,23536.0000,
A,USD,STD,INDL,C,JNJ,2021-03-31,006266,3050.0000,30263.0000,1894.0000,,,6197.0000,22321.0000,22321.0000,11601.0000,677.0000,-452.0000,1.0000,1001.0000,1894.0000,1894.0000,4074.0000,
A,USD,STD,INDL,C,JNJ,2021-06-30,006266,2573.0000,30310.0000,1839.0000,,,6278.0000,23312.0000,23312.0000,15048.0000,1490.0000,-191.0000,1.0000,1451.0000,3733.0000,3733.0000,9388.0000,
A,USD,STD,INDL,C,JNJ,2021-09-30,006266,2498.0000,30130.0000,1814.0000,,,3667.0000,23338.0000,23338.0000,15328.0000,2237.0000,462.0000,3.0000,1452.0000,5547.0000,5547.0000,17678.0000,
A,USD,STD,INDL,C,JNJ,2021-12-31,006266,2131.0000,29985.0000,1843.0000,,,4736.0000,24804.0000,24804.0000,15753.0000,3652.0000,807.0000,5.0000,1802.0000,7390.0000,7390.0000,23410.0000,
A,USD,STD,INDL,C,JNJ,2022-03-31,006266,497.0000,28851.0000,1769.0000,,,5149.0000,23426.0000,23426.0000,17034.0000,607.0000,2163.0000,0.0000,2132.0000,1769.0000,1769.0000,3979.0000,
A,USD,STD,INDL,C,JNJ,2022-06-30,006266,505.0000,28292.0000,1744.0000,,,4814.0000,16629.0000,16629.0000,19026.0000,1470.0000,2170.0000,2.0000,2132.0000,3513.0000,3513.0000,9560.0000,
A,USD,STD,INDL,C,JNJ,2022-09-30,006266,624.0000,27603.0000,1685.0000,,,4458.0000,19996.0000,19996.0000,19693.0000,2422.0000,2291.0000,1.0000,2133.0000,5198.0000,5198.0000,15844.0000,
A,USD,STD,INDL,C,JNJ,2022-12-31,006266,1551.0000,26888.0000,1772.0000,,,3520.0000,19939.0000,19939.0000,-508.0000,4009.0000,9584.0000,2.0000,2134.0000,6970.0000,6970.0000,21194.0000,
A,USD,STD,INDL,C,JNJ,2023-03-31,006266,1079.0000,34928.0000,1880.0000,,,-68.0000,20894.0000,20894.0000,4015.0000,863.0000,5706.0000,7674.0000,500.0000,1880.0000,1880.0000,3257.0000,
A,USD,STD,INDL,C,JNJ,2023-06-30,006266,1901.0000,33901.0000,1934.0000,,,5144.0000,21519.0000,21519.0000,6397.0000,1987.0000,-1390.0000,7674.0000,501.0000,3814.0000,3814.0000,7439.0000,
