costat,curcdq,datafmt,indfmt,consol,tic,datadate,gvkey,dd1q,dlttq,dpq,findlcq,findltq,niq,revtq,saleq,wcapq,capxy,dlcchy,dltisy,dltry,dpcy,dpy,oancfy,wcapcy
A,USD,STD,INDL,C,JPM,2009-03-31,002968,,261845.0000,686.0000,,,2141.0000,,29584.0000,,0.0000,87324.0000,17750.0000,43703.0000,686.0000,686.0000,50756.0000,
A,USD,STD,INDL,C,JPM,2009-06-30,002968,,271939.0000,1063.0000,,,2721.0000,,29502.0000,,0.0000,53591.0000,38079.0000,34924.0000,1749.0000,1749.0000,103259.0000,
A,USD,STD,INDL,C,JPM,2009-09-30,002968,,272124.0000,997.0000,,,3588.0000,,30145.0000,,0.0000,47189.0000,42724.0000,43749.0000,2746.0000,2746.0000,110884.0000,
A,USD,STD,INDL,C,JPM,2009-12-31,002968,,229243.0000,1087.0000,,,3278.0000,,26401.0000,,0.0000,-8942.0000,51324.0000,55713.0000,3833.0000,3833.0000,121897.0000,
A,USD,STD,INDL,C,JPM,2010-03-31,002968,,311838.0000,1198.0000,,,3326.0000,,30806.0000,,0.0000,35832.0000,10852.0000,14110.0000,1198.0000,1198.0000,19132.0000,
A,USD,STD,INDL,C,JPM,2010-06-30,002968,,293049.0000,1206.0000,,,4795.0000,,28133.0000,,0.0000,-36009.0000,17964.0000,30275.0000,2404.0000,2404.0000,47555.0000,
A,USD,STD,INDL,C,JPM,2010-09-30,002968,,307231.0000,1273.0000,,,4418.0000,,26928.0000,,0.0000,43510.0000,27033.0000,39557.0000,3677.0000,3677.0000,-5646.0000,
A,USD,STD,INDL,C,JPM,2010-12-31,002968,,201791.0000,1288.0000,,,4831.0000,,29608.0000,,0.0000,8333.0000,55181.0000,99043.0000,4965.0000,4965.0000,-3752.0000,
A,USD,STD,INDL,C,JPM,2011-03-31,002968,,306320.0000,1274.0000,,,5555.0000,,28763.0000,,0.0000,22129.0000,17056.0000,27250.0000,1274.0000,1274.0000,-5979.0000,
A,USD,STD,INDL,C,JPM,2011-06-30,002968,,309436.0000,1278.0000,,,5431.0000,,30575.0000,,0.0000,-9830.0000,36855.0000,42132.0000,2552.0000,2552.0000,58725.0000,
A,USD,STD,INDL,C,JPM,2011-09-30,002968,,303006.0000,1265.0000,,,4262.0000,,27106.0000,,0.0000,-24249.0000,45253.0000,56819.0000,3817.0000,3817.0000,66518.0000,
A,USD,STD,INDL,C,JPM,2011-12-31,002968,,201642.0000,1288.0000,,,3728.0000,,24394.0000,,0.0000,-55886.0000,54844.0000,82078.0000,5105.0000,5105.0000,95932.0000,
A,USD,STD,INDL,C,JPM,2012-03-31,002968,,283129.0000,1232.0000,,,4924.0000,,27987.0000,,0.0000,41219.0000,14527.0000,16713.0000,1232.0000,1232.0000,4266.0000,
A,USD,STD,INDL,C,JPM,2012-06-30,002968,,261228.0000,1217.0000,,,4960.0000,,25133.0000,,0.0000,47010.0000,27242.0000,48222.0000,2449.0000,2449.0000,46249.0000,
A,USD,STD,INDL,C,JPM,2012-09-30,002968,,263395.0000,1294.0000,,,5708.0000,,27799.0000,,0.0000,49330.0000,51845.0000,70685.0000,3743.0000,3743.0000,29590.0000,
A,USD,STD,INDL,C,JPM,2012-12-31,002968,,244324.0000,1404.0000,,,5692.0000,,26165.0000,,0.0000,35861.0000,86271.0000,96473.0000,5147.0000,5147.0000,25079.0000,
A,USD,STD,INDL,C,JPM,2013-03-31,002968,,295561.0000,974.0000,,,6529.0000,,27616.0000,,0.0000,11479.0000,36698.0000,16467.0000,974.0000,974.0000,19964.0000,
A,USD,STD,INDL,C,JPM,2013-06-30,002968,,296597.0000,1435.0000,,,6496.0000,,27517.0000,,0.0000,23831.0000,62016.0000,38111.0000,2409.0000,2409.0000,88484.0000,
A,USD,STD,INDL,C,JPM,2013-09-30,002968,,293808.0000,1651.0000,,,-380.0000,,25408.0000,,0.0000,-19698.0000,70305.0000,53532.0000,4060.0000,4060.0000,115061.0000,
A,USD,STD,INDL,C,JPM,2013-12-31,002968,,250449.0000,1246.0000,,,5278.0000,,25018.0000,,0.0000,-56083.0000,83546.0000,60497.0000,5306.0000,5306.0000,107953.0000,
A,USD,STD,INDL,C,JPM,2014-03-31,002968,,306463.0000,1208.0000,,,5269.0000,,25341.0000,,0.0000,42749.0000,22064.0000,17000.0000,1208.0000,1208.0000,14667.0000,
A,USD,STD,INDL,C,JPM,2014-06-30,002968,,304642.0000,1218.0000,,,5980.0000,,26741.0000,,0.0000,46483.0000,36469.0000,36628.0000,2426.0000,2426.0000,10296.0000,
A,USD,STD,INDL,C,JPM,2014-09-30,002968,,300613.0000,1147.0000,,,5565.0000,,26288.0000,,0.0000,21931.0000,54263.0000,49493.0000,3573.0000,3573.0000,7847.0000,
A,USD,STD,INDL,C,JPM,2014-12-31,002968,,268676.0000,1186.0000,,,4931.0000,,24639.0000,,0.0000,20147.0000,78515.0000,65275.0000,4759.0000,4759.0000,36593.0000,
A,USD,STD,INDL,C,JPM,2015-03-31,002968,,309643.0000,1181.0000,,,5914.0000,,25954.0000,,0.0000,-7417.0000,28395.0000,22183.0000,1181.0000,1181.0000,14879.0000,
A,USD,STD,INDL,C,JPM,2015-06-30,002968,,316754.0000,1238.0000,,,6290.0000,,25642.0000,,0.0000,-35356.0000,54585.0000,40190.0000,2419.0000,2419.0000,32175.0000,
A,USD,STD,INDL,C,JPM,2015-09-30,002968,,320119.0000,1248.0000,,,6804.0000,,24595.0000,,0.0000,-59404.0000,70243.0000,51382.0000,3667.0000,3667.0000,57299.0000,
A,USD,STD,INDL,C,JPM,2015-12-31,002968,,259133.0000,1273.0000,,,5434.0000,,24301.0000,,0.0000,-97243.0000,79611.0000,67247.0000,4940.0000,4940.0000,73466.0000,
A,USD,STD,INDL,C,JPM,2016-03-31,002968,,310457.0000,1289.0000,,,5520.0000,,25411.0000,,0.0000,9111.0000,15718.0000,16560.0000,1289.0000,1289.0000,-21383.0000,
A,USD,STD,INDL,C,JPM,2016-06-30,002968,,315572.0000,1336.0000,,,6200.0000,,26846.0000,,0.0000,13657.0000,36064.0000,32022.0000,2625.0000,2625.0000,-22907.0000,
A,USD,STD,INDL,C,JPM,2016-09-30,002968,,333897.0000,1407.0000,,,6286.0000,,27140.0000,,0.0000,15328.0000,72021.0000,51054.0000,4032.0000,4032.0000,-18715.0000,
A,USD,STD,INDL,C,JPM,2016-12-31,002968,,271245.0000,1446.0000,,,6727.0000,,26089.0000,,0.0000,10546.0000,83070.0000,68949.0000,5478.0000,5478.0000,20196.0000,
