costat,curcdq,datafmt,indfmt,consol,tic,datadate,gvkey,dd1q,dlttq,dpq,findlcq,findltq,niq,revtq,saleq,wcapq,capxy,dlcchy,dltisy,dltry,dpcy,dpy,oancfy,wcapcy
A,USD,STD,INDL,C,LIN,2009-03-31,025124,,3770.0000,199.0000,,,290.0000,2123.0000,2123.0000,-481.0000,293.0000,4.0000,313.0000,246.0000,199.0000,199.0000,349.0000,
A,USD,STD,INDL,C,LIN,2009-06-30,025124,,4022.0000,207.0000,,,299.0000,2138.0000,2138.0000,-284.0000,663.0000,-272.0000,833.0000,504.0000,406.0000,406.0000,912.0000,
A,USD,STD,INDL,C,LIN,2009-09-30,025124,,4727.0000,217.0000,,,325.0000,2288.0000,2288.0000,264.0000,997.0000,-436.0000,1846.0000,1275.0000,623.0000,623.0000,1459.0000,
A,USD,STD,INDL,C,LIN,2009-12-31,025124,,4757.0000,223.0000,,,340.0000,2407.0000,2407.0000,410.0000,1352.0000,-455.0000,2246.0000,1853.0000,846.0000,846.0000,2168.0000,
A,USD,STD,INDL,C,LIN,2010-03-31,025124,,4732.0000,228.0000,,,314.0000,2428.0000,2428.0000,433.0000,288.0000,-126.0000,846.0000,364.0000,228.0000,228.0000,483.0000,
A,USD,STD,INDL,C,LIN,2010-06-30,025124,,4783.0000,230.0000,,,371.0000,2527.0000,2527.0000,516.0000,613.0000,-53.0000,1193.0000,1167.0000,458.0000,458.0000,1019.0000,
A,USD,STD,INDL,C,LIN,2010-09-30,025124,,4815.0000,227.0000,,,377.0000,2538.0000,2538.0000,589.0000,937.0000,-32.0000,1511.0000,1498.0000,685.0000,685.0000,1615.0000,
A,USD,STD,INDL,C,LIN,2010-12-31,025124,,5155.0000,240.0000,,,133.0000,2623.0000,2623.0000,268.0000,1388.0000,115.0000,1890.0000,1515.0000,925.0000,925.0000,1905.0000,
A,USD,STD,INDL,C,LIN,2011-03-31,025124,31.0000,5481.0000,244.0000,,,398.0000,2702.0000,2702.0000,677.0000,334.0000,-46.0000,506.0000,197.0000,244.0000,244.0000,359.0000,
A,USD,STD,INDL,C,LIN,2011-06-30,025124,31.0000,5685.0000,254.0000,,,425.0000,2858.0000,2858.0000,762.0000,767.0000,26.0000,699.0000,204.0000,498.0000,498.0000,932.0000,
A,USD,STD,INDL,C,LIN,2011-09-30,025124,24.0000,5809.0000,256.0000,,,429.0000,2896.0000,2896.0000,535.0000,1225.0000,101.0000,1199.0000,575.0000,754.0000,754.0000,1664.0000,
A,USD,STD,INDL,C,LIN,2011-12-31,025124,387.0000,5838.0000,249.0000,,,420.0000,2796.0000,2796.0000,72.0000,1797.0000,-47.0000,1541.0000,580.0000,1003.0000,1003.0000,2455.0000,
A,USD,STD,INDL,C,LIN,2012-03-31,025124,180.0000,6420.0000,252.0000,,,419.0000,2840.0000,2840.0000,608.0000,483.0000,-88.0000,596.0000,230.0000,252.0000,252.0000,402.0000,
A,USD,STD,INDL,C,LIN,2012-06-30,025124,909.0000,5961.0000,247.0000,,,429.0000,2811.0000,2811.0000,-76.0000,1047.0000,-218.0000,1400.0000,730.0000,499.0000,499.0000,1127.0000,
A,USD,STD,INDL,C,LIN,2012-09-30,025124,160.0000,6389.0000,248.0000,,,430.0000,2774.0000,2774.0000,305.0000,1594.0000,243.0000,1416.0000,1076.0000,747.0000,747.0000,1873.0000,
A,USD,STD,INDL,C,LIN,2012-12-31,025124,39.0000,6685.0000,254.0000,,,414.0000,2799.0000,2799.0000,313.0000,2180.0000,293.0000,2036.0000,1522.0000,1001.0000,1001.0000,2752.0000,
A,USD,STD,INDL,C,LIN,2013-03-31,025124,325.0000,7772.0000,266.0000,,,391.0000,2888.0000,2888.0000,243.0000,466.0000,-60.0000,1403.0000,27.0000,266.0000,266.0000,472.0000,
A,USD,STD,INDL,C,LIN,2013-06-30,025124,9.0000,7863.0000,275.0000,,,445.0000,3014.0000,3014.0000,23.0000,988.0000,602.0000,2088.0000,935.0000,541.0000,541.0000,1049.0000,
A,USD,STD,INDL,C,LIN,2013-09-30,025124,8.0000,7883.0000,281.0000,,,445.0000,3013.0000,3013.0000,48.0000,1504.0000,504.0000,2105.0000,939.0000,822.0000,822.0000,1953.0000,
A,USD,STD,INDL,C,LIN,2013-12-31,025124,3.0000,8026.0000,287.0000,,,474.0000,3010.0000,3010.0000,252.0000,2020.0000,149.0000,2659.0000,1347.0000,1109.0000,1109.0000,2917.0000,
A,USD,STD,INDL,C,LIN,2014-03-31,025124,5.0000,8564.0000,285.0000,,,448.0000,3026.0000,3026.0000,615.0000,393.0000,-80.0000,847.0000,303.0000,285.0000,285.0000,536.0000,
A,USD,STD,INDL,C,LIN,2014-06-30,025124,5.0000,8565.0000,293.0000,,,467.0000,3113.0000,3113.0000,613.0000,777.0000,-186.0000,858.0000,308.0000,578.0000,578.0000,1383.0000,
A,USD,STD,INDL,C,LIN,2014-09-30,025124,413.0000,8089.0000,301.0000,,,477.0000,3144.0000,3144.0000,98.0000,1207.0000,-161.0000,867.0000,312.0000,879.0000,879.0000,2096.0000,
A,USD,STD,INDL,C,LIN,2014-12-31,025124,2.0000,8669.0000,291.0000,,,302.0000,2990.0000,2990.0000,349.0000,1689.0000,-193.0000,1546.0000,764.0000,1170.0000,1170.0000,2868.0000,
A,USD,STD,INDL,C,LIN,2015-03-31,025124,2.0000,8771.0000,277.0000,,,416.0000,2757.0000,2757.0000,391.0000,397.0000,38.0000,753.0000,501.0000,277.0000,277.0000,508.0000,
A,USD,STD,INDL,C,LIN,2015-06-30,025124,2.0000,8813.0000,278.0000,,,308.0000,2738.0000,2738.0000,574.0000,749.0000,-53.0000,756.0000,502.0000,555.0000,555.0000,1215.0000,
A,USD,STD,INDL,C,LIN,2015-09-30,025124,2.0000,9057.0000,276.0000,,,401.0000,2686.0000,2686.0000,604.0000,1154.0000,-126.0000,1496.0000,999.0000,831.0000,831.0000,1891.0000,
A,USD,STD,INDL,C,LIN,2015-12-31,025124,6.0000,8975.0000,275.0000,,,422.0000,2595.0000,2595.0000,733.0000,1541.0000,-329.0000,1497.0000,1000.0000,1106.0000,1106.0000,2682.0000,
A,USD,STD,INDL,C,LIN,2016-03-31,025124,8.0000,9222.0000,272.0000,,,356.0000,2509.0000,2509.0000,1071.0000,323.0000,-77.0000,898.0000,726.0000,272.0000,272.0000,547.0000,
A,USD,STD,INDL,C,LIN,2016-06-30,025124,9.0000,9190.0000,281.0000,,,399.0000,2665.0000,2665.0000,805.0000,680.0000,508.0000,908.0000,726.0000,553.0000,553.0000,1259.0000,
A,USD,STD,INDL,C,LIN,2016-09-30,025124,11.0000,9225.0000,284.0000,,,339.0000,2716.0000,2716.0000,828.0000,1056.0000,359.0000,925.0000,728.0000,837.0000,837.0000,2047.0000,
A,USD,STD,INDL,C,LIN,2016-12-31,025124,164.0000,8917.0000,285.0000,,,406.0000,2644.0000,2644.0000,402.0000,1465.0000,191.0000,936.0000,770.0000,1122.0000,1122.0000,2773.0000,
A,USD,STD,INDL,C,LIN,2017-03-31,025124,10.0000,8947.0000,287.0000,,,389.0000,2728.0000,2728.0000,765.0000,327.0000,-24.0000,7.0000,156.0000,287.0000,287.0000,710.0000,
A,USD,STD,INDL,C,LIN,2017-06-30,025124,910.0000,8177.0000,292.0000,,,406.0000,2834.0000,2834.0000,76.0000,652.0000,-157.0000,10.0000,158.0000,579.0000,579.0000,1411.0000,
A,USD,STD,INDL,C,LIN,2017-09-30,025124,910.0000,8243.0000,298.0000,,,419.0000,2922.0000,2922.0000,321.0000,972.0000,-353.0000,11.0000,160.0000,877.0000,877.0000,2205.0000,
A,USD,STD,INDL,C,LIN,2017-12-31,025124,979.0000,7783.0000,307.0000,,,33.0000,2953.0000,2953.0000,-22.0000,1311.0000,-199.0000,11.0000,583.0000,1184.0000,1184.0000,3041.0000,
A,USD,STD,INDL,C,LIN,2018-03-31,025124,979.0000,7336.0000,311.0000,,,462.0000,2983.0000,2983.0000,-205.0000,325.0000,288.0000,0.0000,503.0000,311.0000,311.0000,688.0000,
A,USD,STD,INDL,C,LIN,2018-06-30,025124,979.0000,7229.0000,311.0000,,,480.0000,3044.0000,3044.0000,-115.0000,676.0000,13.0000,0.0000,505.0000,622.0000,622.0000,1478.0000,
A,USD,STD,INDL,C,LIN,2018-09-30,025124,1582.0000,6615.0000,306.0000,,,461.0000,3008.0000,3008.0000,-555.0000,1056.0000,-122.0000,2.0000,505.0000,928.0000,928.0000,2349.0000,
A,USD,STD,INDL,C,LIN,2018-12-31,025124,1523.0000,12288.0000,556.0000,,,2978.0000,5801.0000,5801.0000,4316.0000,1883.0000,208.0000,8.0000,3124.0000,1830.0000,1484.0000,3702.0000,
A,USD,STD,INDL,C,LIN,2019-03-31,025124,1288.0000,12985.0000,1223.0000,,,517.0000,6944.0000,6944.0000,3948.0000,843.0000,-533.0000,22.0000,516.0000,1223.0000,1223.0000,1131.0000,
