costat,curcdq,datafmt,indfmt,consol,tic,datadate,gvkey,dd1q,dlttq,dpq,findlcq,findltq,niq,revtq,saleq,wcapq,capxy,dlcchy,dltisy,dltry,dpcy,dpy,oancfy,wcapcy
A,USD,STD,INDL,C,MSFT,2009-03-31,012141,,0.0000,664.0000,,,2977.0000,13648.0000,13648.0000,16901.0000,2252.0000,1667.0000,328.0000,0.0000,1881.0000,1881.0000,15196.0000,
A,USD,STD,INDL,C,MSFT,2009-06-30,012141,,3756.0000,681.0000,,,3045.0000,13099.0000,13099.0000,22246.0000,3119.0000,1178.0000,4796.0000,228.0000,2562.0000,2562.0000,19037.0000,
A,USD,STD,INDL,C,MSFT,2009-09-30,012141,,3746.0000,646.0000,,,3574.0000,12920.0000,12920.0000,23470.0000,435.0000,378.0000,695.0000,823.0000,646.0000,646.0000,6107.0000,
A,USD,STD,INDL,C,MSFT,2009-12-31,012141,,3746.0000,615.0000,,,6662.0000,19022.0000,19022.0000,26772.0000,811.0000,-97.0000,1741.0000,1396.0000,1261.0000,1261.0000,11076.0000,
A,USD,STD,INDL,C,MSFT,2010-03-31,012141,,3746.0000,694.0000,,,4006.0000,14503.0000,14503.0000,28094.0000,1219.0000,-446.0000,2592.0000,1898.0000,1955.0000,1955.0000,18469.0000,
A,USD,STD,INDL,C,MSFT,2010-06-30,012141,,4939.0000,718.0000,,,4518.0000,16039.0000,16039.0000,29529.0000,1977.0000,-991.0000,4167.0000,2986.0000,2673.0000,2673.0000,24073.0000,
A,USD,STD,INDL,C,MSFT,2010-09-30,012141,,9665.0000,694.0000,,,5410.0000,16195.0000,16195.0000,33724.0000,564.0000,814.0000,4721.0000,814.0000,694.0000,694.0000,8194.0000,
A,USD,STD,INDL,C,MSFT,2010-12-31,012141,,9671.0000,663.0000,,,6634.0000,19953.0000,19953.0000,35372.0000,1055.0000,-186.0000,4721.0000,814.0000,1357.0000,1357.0000,12380.0000,
A,USD,STD,INDL,C,MSFT,2011-03-31,012141,,11915.0000,720.0000,,,5232.0000,16428.0000,16428.0000,42221.0000,1713.0000,-186.0000,6960.0000,814.0000,2077.0000,2077.0000,21052.0000,
A,USD,STD,INDL,C,MSFT,2011-06-30,012141,,11921.0000,689.0000,,,5874.0000,17367.0000,17367.0000,46144.0000,2355.0000,-186.0000,6960.0000,814.0000,2766.0000,2766.0000,26994.0000,
A,USD,STD,INDL,C,MSFT,2011-09-30,012141,,11927.0000,726.0000,,,5738.0000,17372.0000,17372.0000,49728.0000,436.0000,0.0000,0.0000,0.0000,726.0000,726.0000,8493.0000,
A,USD,STD,INDL,C,MSFT,2011-12-31,012141,,11932.0000,678.0000,,,6624.0000,20885.0000,20885.0000,47140.0000,934.0000,0.0000,0.0000,0.0000,1404.0000,1404.0000,14355.0000,
A,USD,STD,INDL,C,MSFT,2012-03-31,012141,,11938.0000,766.0000,,,5108.0000,17407.0000,17407.0000,50690.0000,1683.0000,0.0000,0.0000,0.0000,2170.0000,2170.0000,23949.0000,
A,USD,STD,INDL,C,MSFT,2012-06-30,012141,1231.0000,10713.0000,797.0000,,,-492.0000,18059.0000,18059.0000,52396.0000,2305.0000,0.0000,0.0000,0.0000,2967.0000,2967.0000,31626.0000,
A,USD,STD,INDL,C,MSFT,2012-09-30,012141,2236.0000,9714.0000,710.0000,,,4466.0000,16008.0000,16008.0000,52649.0000,603.0000,0.0000,0.0000,0.0000,710.0000,710.0000,8484.0000,
A,USD,STD,INDL,C,MSFT,2012-12-31,012141,2241.0000,11947.0000,1009.0000,,,6377.0000,21456.0000,21456.0000,57664.0000,1533.0000,,2232.0000,0.0000,1719.0000,1719.0000,13264.0000,
A,USD,STD,INDL,C,MSFT,2013-03-31,012141,2246.0000,11949.0000,1053.0000,,,6055.0000,20489.0000,20489.0000,61595.0000,2463.0000,,2232.0000,0.0000,2772.0000,2772.0000,22930.0000,
A,USD,STD,INDL,C,MSFT,2013-06-30,012141,2999.0000,12601.0000,983.0000,,,4965.0000,19896.0000,19896.0000,64049.0000,4257.0000,,4883.0000,1346.0000,3755.0000,3755.0000,28833.0000,
A,USD,STD,INDL,C,MSFT,2013-09-30,012141,2000.0000,12632.0000,954.0000,,,5244.0000,18529.0000,18529.0000,64827.0000,1231.0000,712.0000,588.0000,1000.0000,954.0000,954.0000,8205.0000,
A,USD,STD,INDL,C,MSFT,2013-12-31,012141,2000.0000,20676.0000,1261.0000,,,6558.0000,24519.0000,24519.0000,73128.0000,2963.0000,,8850.0000,1588.0000,2215.0000,2215.0000,12618.0000,
A,USD,STD,INDL,C,MSFT,2014-03-31,012141,2000.0000,20679.0000,1255.0000,,,5660.0000,20403.0000,20403.0000,75103.0000,4155.0000,,8850.0000,1888.0000,3470.0000,3470.0000,22717.0000,
A,USD,STD,INDL,C,MSFT,2014-06-30,012141,0.0000,20645.0000,1742.0000,,,4612.0000,23000.0000,23000.0000,68621.0000,5485.0000,500.0000,10350.0000,3888.0000,5212.0000,5212.0000,32231.0000,
A,USD,STD,INDL,C,MSFT,2014-09-30,012141,1748.0000,18472.0000,1428.0000,,,4540.0000,23201.0000,23201.0000,67745.0000,1282.0000,2999.0000,0.0000,1500.0000,1428.0000,1428.0000,8354.0000,
A,USD,STD,INDL,C,MSFT,2014-12-31,012141,1749.0000,18260.0000,1521.0000,,,5863.0000,26470.0000,26470.0000,68947.0000,2772.0000,7797.0000,0.0000,1500.0000,2949.0000,2949.0000,12694.0000,
A,USD,STD,INDL,C,MSFT,2015-03-31,012141,2499.0000,27644.0000,1515.0000,,,4985.0000,21729.0000,21729.0000,77650.0000,4163.0000,1222.0000,10680.0000,1500.0000,4464.0000,4464.0000,22264.0000,
A,USD,STD,INDL,C,MSFT,2015-06-30,012141,2499.0000,27808.0000,1493.0000,,,-3195.0000,22180.0000,22180.0000,74854.0000,5944.0000,4481.0000,10680.0000,1500.0000,5957.0000,5957.0000,29080.0000,
A,USD,STD,INDL,C,MSFT,2015-09-30,012141,750.0000,27819.0000,1461.0000,,,4902.0000,20379.0000,20379.0000,72257.0000,1356.0000,4890.0000,121.0000,1750.0000,1461.0000,1461.0000,8594.0000,
A,USD,STD,INDL,C,MSFT,2015-12-31,012141,750.0000,40679.0000,1544.0000,,,5018.0000,23796.0000,23796.0000,85169.0000,3380.0000,-2141.0000,13249.0000,1871.0000,3005.0000,3005.0000,14192.0000,
A,USD,STD,INDL,C,MSFT,2016-03-31,012141,0.0000,40896.0000,1707.0000,,,3756.0000,20531.0000,20531.0000,84067.0000,5688.0000,481.0000,13274.0000,2771.0000,4712.0000,4712.0000,24861.0000,
A,USD,STD,INDL,C,MSFT,2016-06-30,012141,25.0000,41544.0000,1910.0000,,,3122.0000,20614.0000,20614.0000,80303.0000,8343.0000,7195.0000,13884.0000,2796.0000,6622.0000,6622.0000,33325.0000,
A,USD,STD,INDL,C,MSFT,2016-09-30,012141,32.0000,61154.0000,1816.0000,,,5667.0000,21928.0000,21928.0000,99099.0000,2163.0000,-3390.0000,24977.0000,225.0000,1816.0000,1816.0000,11549.0000,
A,USD,STD,INDL,C,MSFT,2016-12-31,012141,655.0000,60806.0000,2166.0000,,,6267.0000,25826.0000,25826.0000,74162.0000,4151.0000,-7145.0000,42046.0000,4343.0000,3982.0000,3982.0000,17842.0000,
A,USD,STD,INDL,C,MSFT,2017-03-31,012141,685.0000,77922.0000,2453.0000,,,5486.0000,23212.0000,23212.0000,94308.0000,5846.0000,-8447.0000,42593.0000,4554.0000,6435.0000,6435.0000,28502.0000,
A,USD,STD,INDL,C,MSFT,2017-06-30,012141,1162.0000,78473.0000,2343.0000,,,8069.0000,25605.0000,25605.0000,95324.0000,8129.0000,-4963.0000,44344.0000,7922.0000,8778.0000,8778.0000,39507.0000,
A,USD,STD,INDL,C,MSFT,2017-09-30,012141,2448.0000,85150.0000,2499.0000,,,6576.0000,24538.0000,24538.0000,109416.0000,2132.0000,-3710.0000,3954.0000,1169.0000,2499.0000,2499.0000,12440.0000,
A,USD,STD,INDL,C,MSFT,2017-12-31,012141,4945.0000,82734.0000,2536.0000,,,-6302.0000,28918.0000,28918.0000,109534.0000,4718.0000,49.0000,7183.0000,4496.0000,5035.0000,5035.0000,20315.0000,
A,USD,STD,INDL,C,MSFT,2018-03-31,012141,5010.0000,83381.0000,2710.0000,,,7424.0000,26819.0000,26819.0000,110526.0000,7652.0000,-7324.0000,7183.0000,9379.0000,7745.0000,7745.0000,32466.0000,
A,USD,STD,INDL,C,MSFT,2018-06-30,012141,5573.0000,81935.0000,2516.0000,,,8873.0000,30085.0000,30085.0000,111174.0000,11632.0000,-7324.0000,7183.0000,10060.0000,10261.0000,10261.0000,43884.0000,
A,USD,STD,INDL,C,MSFT,2018-09-30,012141,8072.0000,79856.0000,2837.0000,,,8824.0000,29084.0000,29084.0000,107918.0000,3602.0000,0.0000,0.0000,0.0000,2837.0000,2837.0000,13657.0000,
A,USD,STD,INDL,C,MSFT,2018-12-31,012141,5182.0000,80301.0000,2995.0000,,,8420.0000,32471.0000,32471.0000,106556.0000,7309.0000,0.0000,0.0000,3000.0000,5832.0000,5832.0000,22557.0000,
A,USD,STD,INDL,C,MSFT,2019-03-31,012141,8258.0000,78085.0000,2926.0000,,,8809.0000,30571.0000,30571.0000,106026.0000,9874.0000,0.0000,0.0000,3000.0000,8758.0000,8758.0000,36077.0000,
A,USD,STD,INDL,C,MSFT,2019-06-30,012141,7348.0000,79107.0000,2924.0000,,,13187.0000,33717.0000,33717.0000,106132.0000,13925.0000,,0.0000,4000.0000,11682.0000,11682.0000,52185.0000,
A,USD,STD,INDL,C,MSFT,2019-09-30,012141,4972.0000,80598.0000,2971.0000,,,10678.0000,33055.0000,33055.0000,107778.0000,3385.0000,,0.0000,2500.0000,2971.0000,2971.0000,13818.0000,
A,USD,STD,INDL,C,MSFT,2019-12-31,012141,8327.0000,78820.0000,3203.0000,,,11649.0000,36906.0000,36906.0000,107434.0000,6930.0000,,0.0000,2518.0000,6174.0000,6174.0000,24498.0000,
A,USD,STD,INDL,C,MSFT,2020-03-31,012141,5775.0000,78250.0000,3118.0000,,,10752.0000,35021.0000,35021.0000,111798.0000,10697.0000,,0.0000,5518.0000,9292.0000,9292.0000,42002.0000,
A,USD,STD,INDL,C,MSFT,2020-06-30,012141,5905.0000,76205.0000,3504.0000,,,11202.0000,38033.0000,38033.0000,109605.0000,15441.0000,,0.0000,5518.0000,12796.0000,12796.0000,60675.0000,
A,USD,STD,INDL,C,MSFT,2020-09-30,012141,8837.0000,74379.0000,2645.0000,,,13893.0000,37154.0000,37154.0000,107021.0000,4907.0000,0.0000,0.0000,0.0000,2645.0000,2645.0000,19335.0000,
A,USD,STD,INDL,C,MSFT,2020-12-31,012141,7952.0000,74830.0000,2761.0000,,,15463.0000,43076.0000,43076.0000,106487.0000,9081.0000,,0.0000,3250.0000,5406.0000,5406.0000,31851.0000,
A,USD,STD,INDL,C,MSFT,2021-03-31,012141,10680.0000,70580.0000,2936.0000,,,15457.0000,41706.0000,41706.0000,93421.0000,14170.0000,,0.0000,3750.0000,8342.0000,8342.0000,54030.0000,
A,USD,STD,INDL,C,MSFT,2021-06-30,012141,10825.0000,71453.0000,3344.0000,,,16458.0000,46152.0000,46152.0000,95749.0000,20622.0000,,0.0000,3750.0000,11686.0000,11686.0000,76740.0000,
A,USD,STD,INDL,C,MSFT,2021-09-30,012141,6180.0000,72755.0000,3212.0000,,,20505.0000,45317.0000,45317.0000,93798.0000,5810.0000,,0.0000,4826.0000,3212.0000,3212.0000,24540.0000,
A,USD,STD,INDL,C,MSFT,2021-12-31,012141,8068.0000,72285.0000,3496.0000,,,18765.0000,51728.0000,51728.0000,96678.0000,11675.0000,,0.0000,4826.0000,6708.0000,6708.0000,39020.0000,
A,USD,STD,INDL,C,MSFT,2022-03-31,012141,4896.0000,73085.0000,3773.0000,,,16728.0000,49360.0000,49360.0000,76483.0000,17015.0000,,0.0000,9023.0000,10481.0000,10481.0000,64406.0000,
A,USD,STD,INDL,C,MSFT,2022-06-30,012141,6037.0000,72363.0000,3979.0000,,,16740.0000,51865.0000,51865.0000,74602.0000,23886.0000,,0.0000,9023.0000,14460.0000,14460.0000,89035.0000,
A,USD,STD,INDL,C,MSFT,2022-09-30,012141,6527.0000,70609.0000,2790.0000,,,17556.0000,50122.0000,50122.0000,73423.0000,6283.0000,,0.0000,1000.0000,2790.0000,2790.0000,23198.0000,
A,USD,STD,INDL,C,MSFT,2022-12-31,012141,7389.0000,70596.0000,3648.0000,,,16425.0000,52747.0000,52747.0000,76105.0000,12557.0000,,0.0000,1750.0000,6438.0000,6438.0000,34371.0000,
A,USD,STD,INDL,C,MSFT,2023-03-31,012141,9725.0000,69587.0000,3549.0000,,,18299.0000,52857.0000,52857.0000,78198.0000,19164.0000,,0.0000,1750.0000,9987.0000,9987.0000,58812.0000,
A,USD,STD,INDL,C,MSFT,2023-06-30,012141,8853.0000,70588.0000,3874.0000,,,20081.0000,56189.0000,56189.0000,80108.0000,28107.0000,,0.0000,2750.0000,13861.0000,13861.0000,87582.0000,
A,USD,STD,INDL,C,MSFT,2023-09-30,012141,7863.0000,72010.0000,3921.0000,,,22291.0000,56517.0000,56517.0000,82794.0000,9917.0000,18692.0000,7073.0000,1500.0000,3921.0000,3921.0000,30583.0000,
A,USD,STD,INDL,C,MSFT,2023-12-31,012141,6728.0000,77589.0000,5959.0000,,,21870.0000,62020.0000,62020.0000,26377.0000,19652.0000,10202.0000,17846.0000,4416.0000,9880.0000,9880.0000,49436.0000,
A,USD,STD,INDL,C,MSFT,2024-03-31,012141,7531.0000,78163.0000,6027.0000,,,21939.0000,61858.0000,61858.0000,28655.0000,30604.0000,6392.0000,24198.0000,16005.0000,15907.0000,15907.0000,81353.0000,
A,USD,STD,INDL,C,MSFT,2024-06-30,012141,8178.0000,82981.0000,6380.0000,,,22036.0000,64727.0000,64727.0000,34448.0000,44477.0000,5250.0000,24395.0000,29070.0000,22287.0000,22287.0000,118548.0000,
A,USD,STD,INDL,C,MSFT,2024-09-30,012141,8762.0000,88076.0000,6100.0000,,,24667.0000,65585.0000,65585.0000,34726.0000,14923.0000,-5746.0000,0.0000,966.0000,7383.0000,6100.0000,34180.0000,
A,USD,STD,INDL,C,MSFT,2024-12-31,012141,12529.0000,90380.0000,6800.0000,,,24108.0000,69632.0000,69632.0000,38198.0000,30727.0000,-5746.0000,0.0000,966.0000,14210.0000,12900.0000,56471.0000,
A,USD,STD,INDL,C,MSFT,2025-03-31,012141,11126.0000,93893.0000,8740.0000,,,25824.0000,70066.0000,70066.0000,42438.0000,47472.0000,-5746.0000,0.0000,3216.0000,22950.0000,22950.0000,93515.0000,
