costat,curcdq,datafmt,indfmt,consol,tic,datadate,gvkey,dd1q,dlttq,dpq,findlcq,findltq,niq,revtq,saleq,wcapq,capxy,dlcchy,dltisy,dltry,dpcy,dpy,oancfy,wcapcy
A,USD,STD,INDL,C,NEE,2009-03-31,004517,,15099.0000,390.0000,,,364.0000,3705.0000,3705.0000,-1489.0000,654.0000,-1220.0000,1508.0000,359.0000,469.0000,390.0000,1043.0000,
A,USD,STD,INDL,C,NEE,2009-06-30,004517,,15664.0000,428.0000,,,370.0000,3810.0000,3810.0000,-1781.0000,1275.0000,-743.0000,2372.0000,1314.0000,963.0000,818.0000,2144.0000,
A,USD,STD,INDL,C,NEE,2009-09-30,004517,,15601.0000,430.0000,,,533.0000,4473.0000,4473.0000,-2381.0000,2156.0000,-284.0000,2389.0000,1412.0000,1463.0000,1248.0000,3326.0000,
A,USD,STD,INDL,C,NEE,2009-12-31,004517,,16300.0000,517.0000,,,348.0000,3655.0000,3655.0000,-2112.0000,2938.0000,154.0000,3220.0000,1635.0000,2004.0000,1765.0000,4463.0000,
A,USD,STD,INDL,C,NEE,2010-03-31,004517,,16601.0000,414.0000,,,556.0000,3622.0000,3622.0000,-2225.0000,846.0000,916.0000,800.0000,102.0000,486.0000,414.0000,896.0000,
A,USD,STD,INDL,C,NEE,2010-06-30,004517,,17171.0000,386.0000,,,417.0000,3591.0000,3591.0000,-1827.0000,1589.0000,-54.0000,1585.0000,269.0000,940.0000,800.0000,1748.0000,
A,USD,STD,INDL,C,NEE,2010-09-30,004517,,17680.0000,530.0000,,,721.0000,4691.0000,4691.0000,-1411.0000,2252.0000,-935.0000,3018.0000,571.0000,1544.0000,1330.0000,2769.0000,
A,USD,STD,INDL,C,NEE,2010-12-31,004517,,18013.0000,477.0000,,,263.0000,3413.0000,3413.0000,-1646.0000,2947.0000,-1130.0000,3724.0000,769.0000,2092.0000,1807.0000,3834.0000,
A,USD,STD,INDL,C,NEE,2011-03-31,004517,,18288.0000,331.0000,,,268.0000,3134.0000,3134.0000,-2220.0000,811.0000,488.0000,201.0000,252.0000,402.0000,331.0000,983.0000,
A,USD,STD,INDL,C,NEE,2011-06-30,004517,,19235.0000,409.0000,,,580.0000,3960.0000,3960.0000,-1576.0000,1786.0000,160.0000,1453.0000,991.0000,871.0000,740.0000,1991.0000,
A,USD,STD,INDL,C,NEE,2011-09-30,004517,,20039.0000,496.0000,,,408.0000,4382.0000,4382.0000,-1167.0000,2663.0000,946.0000,2917.0000,1688.0000,1446.0000,1236.0000,3117.0000,
A,USD,STD,INDL,C,NEE,2011-12-31,004517,,20810.0000,331.0000,,,667.0000,3865.0000,3865.0000,-1847.0000,4027.0000,460.0000,3940.0000,2121.0000,1844.0000,1567.0000,4074.0000,
A,USD,STD,INDL,C,NEE,2012-03-31,004517,,20582.0000,320.0000,,,461.0000,3371.0000,3371.0000,-2911.0000,1274.0000,582.0000,566.0000,134.0000,383.0000,320.0000,835.0000,
A,USD,STD,INDL,C,NEE,2012-06-30,004517,,21580.0000,335.0000,,,607.0000,3667.0000,3667.0000,-2789.0000,2574.0000,170.0000,2330.0000,646.0000,785.0000,655.0000,1928.0000,
A,USD,STD,INDL,C,NEE,2012-09-30,004517,,22714.0000,466.0000,,,414.0000,3843.0000,3843.0000,-3438.0000,3664.0000,396.0000,4226.0000,1321.0000,1315.0000,1121.0000,3157.0000,
A,USD,STD,INDL,C,NEE,2012-12-31,004517,,23177.0000,397.0000,,,429.0000,3375.0000,3375.0000,-3642.0000,4870.0000,61.0000,6630.0000,1612.0000,1772.0000,1518.0000,3992.0000,
A,USD,STD,INDL,C,NEE,2013-03-31,004517,,22866.0000,419.0000,,,272.0000,3279.0000,3279.0000,-4731.0000,895.0000,966.0000,623.0000,923.0000,500.0000,419.0000,1082.0000,
A,USD,STD,INDL,C,NEE,2013-06-30,004517,,23514.0000,499.0000,,,611.0000,3833.0000,3833.0000,-4132.0000,1644.0000,-370.0000,2862.0000,1425.0000,1095.0000,918.0000,2250.0000,
A,USD,STD,INDL,C,NEE,2013-09-30,004517,,23862.0000,605.0000,,,698.0000,4394.0000,4394.0000,-3741.0000,2415.0000,-495.0000,3653.0000,1669.0000,1785.0000,1523.0000,3390.0000,
A,USD,STD,INDL,C,NEE,2013-12-31,004517,,23969.0000,640.0000,,,327.0000,3630.0000,3630.0000,-3347.0000,3228.0000,-720.0000,4371.0000,2396.0000,2521.0000,2163.0000,5102.0000,
A,USD,STD,INDL,C,NEE,2014-03-31,004517,,23824.0000,463.0000,,,430.0000,3674.0000,3674.0000,-4151.0000,1114.0000,1179.0000,655.0000,717.0000,551.0000,463.0000,1017.0000,
A,USD,STD,INDL,C,NEE,2014-06-30,004517,,25049.0000,613.0000,,,491.0000,4029.0000,4029.0000,-3591.0000,1803.0000,925.0000,2729.0000,2275.0000,1246.0000,1076.0000,2448.0000,
A,USD,STD,INDL,C,NEE,2014-09-30,004517,,24853.0000,783.0000,,,660.0000,4654.0000,4654.0000,-3939.0000,2587.0000,495.0000,4244.0000,3688.0000,2118.0000,1859.0000,3968.0000,
A,USD,STD,INDL,C,NEE,2014-12-31,004517,,24367.0000,692.0000,,,884.0000,4664.0000,4664.0000,-2719.0000,3503.0000,451.0000,5054.0000,4750.0000,2896.0000,2551.0000,5500.0000,
A,USD,STD,INDL,C,NEE,2015-03-31,004517,,24264.0000,547.0000,,,650.0000,4104.0000,4104.0000,-3089.0000,917.0000,603.0000,194.0000,170.0000,637.0000,547.0000,1181.0000,
A,USD,STD,INDL,C,NEE,2015-06-30,004517,,25235.0000,737.0000,,,716.0000,4359.0000,4359.0000,-3075.0000,1864.0000,629.0000,1706.0000,1403.0000,1462.0000,1284.0000,2934.0000,
A,USD,STD,INDL,C,NEE,2015-09-30,004517,,25604.0000,798.0000,,,879.0000,4954.0000,4954.0000,-3714.0000,2983.0000,1021.0000,3462.0000,3097.0000,2362.0000,2082.0000,4513.0000,
A,USD,STD,INDL,C,NEE,2015-12-31,004517,,26681.0000,749.0000,,,507.0000,4069.0000,4069.0000,-3312.0000,3872.0000,-356.0000,5772.0000,3972.0000,3203.0000,2831.0000,6116.0000,
A,USD,STD,INDL,C,NEE,2016-03-31,004517,,27791.0000,537.0000,,,653.0000,3835.0000,3835.0000,-3491.0000,1265.0000,1686.0000,1250.0000,367.0000,651.0000,537.0000,1545.0000,
A,USD,STD,INDL,C,NEE,2016-06-30,004517,,27001.0000,742.0000,,,540.0000,3816.0000,3816.0000,-4824.0000,2347.0000,1496.0000,2509.0000,996.0000,1467.0000,1279.0000,3270.0000,
A,USD,STD,INDL,C,NEE,2016-09-30,004517,,28195.0000,983.0000,,,753.0000,4806.0000,4806.0000,-3709.0000,3319.0000,392.0000,4644.0000,2654.0000,2537.0000,2262.0000,5294.0000,
A,USD,STD,INDL,C,NEE,2016-12-31,004517,,27818.0000,815.0000,,,966.0000,3698.0000,3698.0000,-3510.0000,4240.0000,-268.0000,5657.0000,3310.0000,3377.0000,3077.0000,6336.0000,
A,USD,STD,INDL,C,NEE,2017-03-31,004517,,28539.0000,619.0000,,,1583.0000,3973.0000,3973.0000,-3934.0000,1816.0000,2241.0000,689.0000,548.0000,691.0000,619.0000,1364.0000,
A,USD,STD,INDL,C,NEE,2017-06-30,004517,,30392.0000,886.0000,,,793.0000,4404.0000,4404.0000,-3003.0000,2797.0000,2047.0000,2771.0000,1885.0000,1648.0000,1505.0000,3165.0000,
A,USD,STD,INDL,C,NEE,2017-09-30,004517,,30345.0000,1071.0000,,,846.0000,4792.0000,4792.0000,-4577.0000,3851.0000,2004.0000,5196.0000,3892.0000,2786.0000,2576.0000,5160.0000,
A,USD,STD,INDL,C,NEE,2017-12-31,004517,,31463.0000,-219.0000,,,2158.0000,4004.0000,4004.0000,-4075.0000,5371.0000,1867.0000,8354.0000,6780.0000,2629.0000,2357.0000,6413.0000,
A,USD,STD,INDL,C,NEE,2018-03-31,004517,,28062.0000,856.0000,,,4431.0000,3857.0000,3857.0000,-3967.0000,1276.0000,1027.0000,1804.0000,942.0000,924.0000,856.0000,1290.0000,
A,USD,STD,INDL,C,NEE,2018-06-30,004517,,28356.0000,832.0000,,,781.0000,4063.0000,4063.0000,-4299.0000,2602.0000,655.0000,2875.0000,1214.0000,1815.0000,1688.0000,2933.0000,
A,USD,STD,INDL,C,NEE,2018-09-30,004517,,27048.0000,1132.0000,,,1004.0000,4417.0000,4417.0000,-4458.0000,3710.0000,948.0000,4028.0000,2593.0000,2995.0000,2820.0000,5225.0000,
A,USD,STD,INDL,C,NEE,2018-12-31,004517,,26782.0000,1091.0000,,,422.0000,4390.0000,4390.0000,-11170.0000,5279.0000,6272.0000,4399.0000,3102.0000,4147.0000,3911.0000,6593.0000,
A,USD,STD,INDL,C,NEE,2019-03-31,004517,,29883.0000,772.0000,,,680.0000,4075.0000,4075.0000,-9704.0000,1201.0000,-498.0000,2768.0000,166.0000,862.0000,772.0000,1597.0000,
A,USD,STD,INDL,C,NEE,2019-06-30,004517,,33947.0000,1180.0000,,,1234.0000,4969.0000,4969.0000,-6941.0000,2471.0000,-2968.0000,7554.0000,1876.0000,2124.0000,1952.0000,3281.0000,
A,USD,STD,INDL,C,NEE,2019-09-30,004517,,36144.0000,1295.0000,,,880.0000,5572.0000,5572.0000,-5635.0000,3848.0000,-4959.0000,10923.0000,3561.0000,3437.0000,3247.0000,6243.0000,
A,USD,STD,INDL,C,NEE,2019-12-31,004517,,37543.0000,969.0000,,,975.0000,4588.0000,4588.0000,-6445.0000,5875.0000,-4799.0000,13919.0000,5492.0000,4478.0000,4216.0000,8155.0000,
A,USD,STD,INDL,C,NEE,2020-03-31,004517,,41116.0000,848.0000,,,421.0000,4613.0000,4613.0000,-3997.0000,1451.0000,685.0000,4354.0000,312.0000,922.0000,848.0000,1894.0000,
A,USD,STD,INDL,C,NEE,2020-06-30,004517,,42667.0000,981.0000,,,1274.0000,4204.0000,4204.0000,-4784.0000,3229.0000,-2107.0000,8470.0000,2332.0000,1954.0000,1829.0000,3792.0000,
A,USD,STD,INDL,C,NEE,2020-09-30,004517,,42794.0000,1279.0000,,,1229.0000,4785.0000,4785.0000,-6686.0000,4537.0000,-2458.0000,11898.0000,3690.0000,3292.0000,3108.0000,6631.0000,
A,USD,STD,INDL,C,NEE,2020-12-31,004517,,41944.0000,944.0000,,,-5.0000,4395.0000,4395.0000,-8176.0000,6722.0000,-907.0000,12404.0000,6103.0000,4315.0000,4052.0000,7983.0000,
A,USD,STD,INDL,C,NEE,2021-03-31,004517,,46065.0000,749.0000,,,1666.0000,3726.0000,3726.0000,-7546.0000,1577.0000,258.0000,4616.0000,432.0000,823.0000,749.0000,1292.0000,
A,USD,STD,INDL,C,NEE,2021-06-30,004517,,47559.0000,981.0000,,,256.0000,3927.0000,3927.0000,-8757.0000,3442.0000,-1250.0000,7359.0000,1023.0000,1864.0000,1730.0000,3495.0000,
A,USD,STD,INDL,C,NEE,2021-09-30,004517,,48092.0000,1230.0000,,,447.0000,4370.0000,4370.0000,-10884.0000,5205.0000,1785.0000,9614.0000,4262.0000,3162.0000,2960.0000,6236.0000,
A,USD,STD,INDL,C,NEE,2021-12-31,004517,,50960.0000,964.0000,,,1204.0000,5046.0000,5046.0000,-8149.0000,7048.0000,-426.0000,16683.0000,9594.0000,4214.0000,3924.0000,7553.0000,
A,USD,STD,INDL,C,NEE,2022-03-31,004517,,50974.0000,885.0000,,,-451.0000,2890.0000,2890.0000,-11435.0000,2300.0000,1073.0000,4309.0000,493.0000,960.0000,885.0000,1962.0000,
A,USD,STD,INDL,C,NEE,2022-06-30,004517,,53382.0000,1158.0000,,,1380.0000,5183.0000,5183.0000,-12489.0000,4525.0000,829.0000,9615.0000,1544.0000,2187.0000,2043.0000,4793.0000,
A,USD,STD,INDL,C,NEE,2022-09-30,004517,,54670.0000,1289.0000,,,1696.0000,6719.0000,6719.0000,-14902.0000,6577.0000,743.0000,11616.0000,2137.0000,3543.0000,3332.0000,7267.0000,
