costat,curcdq,datafmt,indfmt,consol,tic,datadate,gvkey,dd1q,dlttq,dpq,findlcq,findltq,niq,revtq,saleq,wcapq,capxy,dlcchy,dltisy,dltry,dpcy,dpy,oancfy,wcapcy
A,USD,STD,INDL,C,PG,2009-03-31,008762,,20452.0000,725.0000,,,2613.0000,17864.0000,17864.0000,-10821.0000,2158.0000,-444.0000,4926.0000,2190.0000,2228.0000,2228.0000,9923.0000,
A,USD,STD,INDL,C,PG,2009-06-30,008762,,20652.0000,854.0000,,,2471.0000,18084.0000,18084.0000,-8996.0000,3238.0000,-2420.0000,4926.0000,2587.0000,3082.0000,3082.0000,14919.0000,
A,USD,STD,INDL,C,PG,2009-09-30,008762,,22439.0000,771.0000,,,3307.0000,19807.0000,19807.0000,-4157.0000,552.0000,1914.0000,1496.0000,4986.0000,771.0000,771.0000,4555.0000,
A,USD,STD,INDL,C,PG,2009-12-31,008762,,22309.0000,758.0000,,,4659.0000,21027.0000,21027.0000,-1915.0000,1274.0000,-2902.0000,1495.0000,5169.0000,1529.0000,1529.0000,7849.0000,
A,USD,STD,INDL,C,PG,2010-03-31,008762,,22938.0000,799.0000,,,2585.0000,19178.0000,19178.0000,-1782.0000,1980.0000,-3481.0000,2752.0000,5922.0000,2328.0000,2328.0000,12759.0000,
A,USD,STD,INDL,C,PG,2010-06-30,008762,,21360.0000,780.0000,,,2185.0000,18926.0000,18926.0000,-5500.0000,3067.0000,-1798.0000,3830.0000,8546.0000,3108.0000,3108.0000,16072.0000,
A,USD,STD,INDL,C,PG,2010-09-30,008762,,21464.0000,689.0000,,,3081.0000,20122.0000,20122.0000,-7144.0000,519.0000,2412.0000,1.0000,18.0000,689.0000,689.0000,2452.0000,
A,USD,STD,INDL,C,PG,2010-12-31,008762,,21317.0000,711.0000,,,3333.0000,20638.0000,20638.0000,-5411.0000,1256.0000,948.0000,1536.0000,160.0000,1400.0000,1400.0000,5329.0000,
A,USD,STD,INDL,C,PG,2011-03-31,008762,,21699.0000,703.0000,,,2873.0000,19893.0000,19893.0000,-4361.0000,2066.0000,-420.0000,1536.0000,188.0000,2103.0000,2103.0000,9385.0000,
A,USD,STD,INDL,C,PG,2011-06-30,008762,2994.0000,22033.0000,735.0000,,,2510.0000,20451.0000,20451.0000,-5323.0000,3306.0000,151.0000,1536.0000,206.0000,2838.0000,2838.0000,13231.0000,
A,USD,STD,INDL,C,PG,2011-09-30,008762,,22372.0000,743.0000,,,3024.0000,21530.0000,21530.0000,-4843.0000,833.0000,1217.0000,1988.0000,1013.0000,743.0000,743.0000,2167.0000,
A,USD,STD,INDL,C,PG,2011-12-31,008762,,19270.0000,713.0000,,,1690.0000,21744.0000,21744.0000,-6141.0000,1780.0000,2416.0000,1990.0000,2514.0000,1456.0000,1456.0000,5495.0000,
A,USD,STD,INDL,C,PG,2012-03-31,008762,,21341.0000,971.0000,,,2411.0000,20194.0000,20194.0000,-3796.0000,2663.0000,-122.0000,3985.0000,2514.0000,2427.0000,2427.0000,9311.0000,
A,USD,STD,INDL,C,PG,2012-06-30,008762,4083.0000,21080.0000,777.0000,,,3631.0000,20212.0000,20212.0000,-2997.0000,3964.0000,-3412.0000,3985.0000,2549.0000,3204.0000,3204.0000,13284.0000,
A,USD,STD,INDL,C,PG,2012-09-30,008762,,23563.0000,710.0000,,,2814.0000,20739.0000,20739.0000,-774.0000,805.0000,1033.0000,2225.0000,1251.0000,710.0000,710.0000,2770.0000,
A,USD,STD,INDL,C,PG,2012-12-31,008762,,23607.0000,738.0000,,,4057.0000,22175.0000,22175.0000,-629.0000,1529.0000,4972.0000,2239.0000,3749.0000,1448.0000,1448.0000,6619.0000,
A,USD,STD,INDL,C,PG,2013-03-31,008762,,21125.0000,740.0000,,,2566.0000,20598.0000,20598.0000,-3114.0000,2426.0000,4152.0000,2253.0000,3749.0000,2188.0000,2188.0000,10481.0000,
A,USD,STD,INDL,C,PG,2013-06-30,008762,4506.0000,19111.0000,794.0000,,,1875.0000,20655.0000,20655.0000,-6047.0000,4008.0000,3406.0000,2331.0000,3752.0000,2982.0000,2982.0000,14873.0000,
A,USD,STD,INDL,C,PG,2013-09-30,008762,,18480.0000,771.0000,,,3027.0000,20174.0000,20174.0000,-6895.0000,725.0000,1862.0000,1073.0000,0.0000,771.0000,771.0000,2044.0000,
A,USD,STD,INDL,C,PG,2013-12-31,008762,,21517.0000,755.0000,,,3428.0000,21099.0000,21099.0000,-3260.0000,1663.0000,-429.0000,4271.0000,3.0000,1526.0000,1526.0000,5343.0000,
A,USD,STD,INDL,C,PG,2014-03-31,008762,,20837.0000,791.0000,,,2609.0000,19641.0000,19641.0000,-3992.0000,2607.0000,2259.0000,4268.0000,1992.0000,2317.0000,2317.0000,9452.0000,
A,USD,STD,INDL,C,PG,2014-06-30,008762,4307.0000,19811.0000,824.0000,,,2579.0000,19596.0000,19596.0000,-2109.0000,3848.0000,3304.0000,4334.0000,4095.0000,3141.0000,3141.0000,13958.0000,
A,USD,STD,INDL,C,PG,2014-09-30,008762,,19004.0000,794.0000,,,1990.0000,18771.0000,18771.0000,-2964.0000,810.0000,105.0000,0.0000,1902.0000,794.0000,794.0000,3633.0000,
A,USD,STD,INDL,C,PG,2014-12-31,008762,,18124.0000,746.0000,,,2372.0000,18495.0000,18495.0000,-974.0000,1642.0000,352.0000,1112.0000,1911.0000,1540.0000,1540.0000,7068.0000,
A,USD,STD,INDL,C,PG,2015-03-31,008762,,17364.0000,786.0000,,,2153.0000,16930.0000,16930.0000,-319.0000,2462.0000,-141.0000,1188.0000,2684.0000,2326.0000,2326.0000,10620.0000,
A,USD,STD,INDL,C,PG,2015-06-30,008762,2772.0000,18329.0000,808.0000,,,521.0000,16553.0000,16553.0000,-144.0000,3736.0000,-2580.0000,2138.0000,3512.0000,3134.0000,3134.0000,14608.0000,
A,USD,STD,INDL,C,PG,2015-09-30,008762,,17394.0000,731.0000,,,2601.0000,16527.0000,16527.0000,4053.0000,532.0000,450.0000,0.0000,537.0000,731.0000,731.0000,3538.0000,
A,USD,STD,INDL,C,PG,2015-12-31,008762,,17595.0000,723.0000,,,3206.0000,16915.0000,16915.0000,4294.0000,1223.0000,2020.0000,1721.0000,2239.0000,1454.0000,1454.0000,8018.0000,
A,USD,STD,INDL,C,PG,2016-03-31,008762,,19134.0000,785.0000,,,2750.0000,15755.0000,15755.0000,2960.0000,2023.0000,1535.0000,3916.0000,2210.0000,2239.0000,2239.0000,11296.0000,
A,USD,STD,INDL,C,PG,2016-06-30,008762,2760.0000,18945.0000,839.0000,,,1951.0000,16102.0000,16102.0000,3012.0000,3314.0000,-418.0000,3916.0000,2213.0000,3078.0000,3078.0000,15435.0000,
A,USD,STD,INDL,C,PG,2016-09-30,008762,,18910.0000,728.0000,,,2714.0000,16518.0000,16518.0000,2770.0000,684.0000,1519.0000,891.0000,1001.0000,728.0000,728.0000,3025.0000,
