costat,curcdq,datafmt,indfmt,consol,tic,datadate,gvkey,dd1q,dlttq,dpq,findlcq,findltq,niq,revtq,saleq,wcapq,capxy,dlcchy,dltisy,dltry,dpcy,dpy,oancfy,wcapcy
A,USD,STD,INDL,C,UNH,2009-03-31,010903,,11223.0000,234.0000,,,984.0000,22004.0000,22004.0000,-3426.0000,160.0000,-39.0000,0.0000,900.0000,234.0000,234.0000,1112.0000,
A,USD,STD,INDL,C,UNH,2009-06-30,010903,,10707.0000,249.0000,,,859.0000,21655.0000,21655.0000,-3968.0000,311.0000,-228.0000,0.0000,900.0000,483.0000,483.0000,1604.0000,
A,USD,STD,INDL,C,UNH,2009-09-30,010903,,10690.0000,250.0000,,,1035.0000,21695.0000,21695.0000,-2441.0000,483.0000,-99.0000,,1350.0000,733.0000,733.0000,4345.0000,
A,USD,STD,INDL,C,UNH,2009-12-31,010903,,9009.0000,258.0000,,,944.0000,21784.0000,21784.0000,-3963.0000,739.0000,-99.0000,0.0000,1350.0000,991.0000,991.0000,5625.0000,
A,USD,STD,INDL,C,UNH,2010-03-31,010903,,8001.0000,248.0000,,,1191.0000,23193.0000,23193.0000,-4563.0000,132.0000,225.0000,0.0000,833.0000,248.0000,248.0000,1205.0000,
A,USD,STD,INDL,C,UNH,2010-06-30,010903,,8036.0000,249.0000,,,1123.0000,23264.0000,23264.0000,-4121.0000,343.0000,880.0000,0.0000,1333.0000,497.0000,497.0000,1928.0000,
A,USD,STD,INDL,C,UNH,2010-09-30,010903,,8076.0000,247.0000,,,1277.0000,23668.0000,23668.0000,-6186.0000,548.0000,1131.0000,0.0000,1333.0000,744.0000,744.0000,4832.0000,
A,USD,STD,INDL,C,UNH,2010-12-31,010903,,8662.0000,320.0000,,,1043.0000,24030.0000,24030.0000,-5307.0000,878.0000,930.0000,747.0000,1583.0000,1064.0000,1064.0000,6273.0000,
A,USD,STD,INDL,C,UNH,2011-03-31,010903,,9359.0000,270.0000,,,1346.0000,25432.0000,25432.0000,-4709.0000,213.0000,759.0000,747.0000,955.0000,270.0000,270.0000,1224.0000,
A,USD,STD,INDL,C,UNH,2011-06-30,010903,,9442.0000,270.0000,,,1267.0000,25234.0000,25234.0000,-3945.0000,516.0000,154.0000,747.0000,955.0000,540.0000,540.0000,2419.0000,
A,USD,STD,INDL,C,UNH,2011-09-30,010903,,9555.0000,294.0000,,,1271.0000,25280.0000,25280.0000,-4110.0000,806.0000,820.0000,747.0000,955.0000,834.0000,834.0000,7383.0000,
A,USD,STD,INDL,C,UNH,2011-12-31,010903,,10656.0000,290.0000,,,1258.0000,25916.0000,25916.0000,-3572.0000,1067.0000,-933.0000,2234.0000,955.0000,1124.0000,1124.0000,6968.0000,
A,USD,STD,INDL,C,UNH,2012-03-31,010903,,11083.0000,296.0000,,,1388.0000,27282.0000,27282.0000,-4772.0000,269.0000,244.0000,995.0000,0.0000,296.0000,296.0000,3586.0000,
A,USD,STD,INDL,C,UNH,2012-06-30,010903,1461.0000,11156.0000,326.0000,,,1337.0000,27265.0000,27265.0000,-4896.0000,465.0000,,995.0000,0.0000,622.0000,622.0000,5771.0000,
A,USD,STD,INDL,C,UNH,2012-09-30,010903,1312.0000,11146.0000,317.0000,,,1557.0000,27302.0000,27302.0000,-4522.0000,786.0000,540.0000,1480.0000,631.0000,939.0000,939.0000,5473.0000,
A,USD,STD,INDL,C,UNH,2012-12-31,010903,1126.0000,14041.0000,370.0000,,,1244.0000,28769.0000,28769.0000,-6064.0000,1070.0000,1587.0000,3966.0000,986.0000,1309.0000,1309.0000,7155.0000,
A,USD,STD,INDL,C,UNH,2013-03-31,010903,803.0000,15659.0000,336.0000,,,1192.0000,30340.0000,30340.0000,-4466.0000,323.0000,130.0000,2235.0000,1077.0000,336.0000,336.0000,1053.0000,
A,USD,STD,INDL,C,UNH,2013-06-30,010903,185.0000,15543.0000,340.0000,,,1436.0000,30408.0000,30408.0000,-5787.0000,625.0000,-688.0000,2235.0000,1560.0000,676.0000,676.0000,2527.0000,
A,USD,STD,INDL,C,UNH,2013-09-30,010903,835.0000,14888.0000,349.0000,,,1570.0000,30624.0000,30624.0000,-6673.0000,986.0000,-529.0000,2235.0000,1560.0000,1025.0000,1025.0000,5923.0000,
A,USD,STD,INDL,C,UNH,2013-12-31,010903,854.0000,14891.0000,350.0000,,,1427.0000,31117.0000,31117.0000,-7501.0000,1307.0000,-474.0000,2235.0000,1609.0000,1375.0000,1375.0000,6991.0000,
A,USD,STD,INDL,C,UNH,2014-03-31,010903,1117.0000,14524.0000,360.0000,,,1099.0000,31708.0000,31708.0000,-8352.0000,353.0000,9.0000,0.0000,172.0000,360.0000,360.0000,1408.0000,
A,USD,STD,INDL,C,UNH,2014-06-30,010903,1103.0000,14630.0000,364.0000,,,1408.0000,32574.0000,32574.0000,-7925.0000,716.0000,-101.0000,0.0000,172.0000,724.0000,724.0000,2422.0000,
A,USD,STD,INDL,C,UNH,2014-09-30,010903,455.0000,14592.0000,373.0000,,,1602.0000,32759.0000,32759.0000,-8167.0000,1121.0000,1355.0000,0.0000,812.0000,1097.0000,1097.0000,5622.0000,
A,USD,STD,INDL,C,UNH,2014-12-31,010903,1078.0000,16007.0000,381.0000,,,1510.0000,33433.0000,33433.0000,-7067.0000,1525.0000,-794.0000,1997.0000,812.0000,1478.0000,1478.0000,8051.0000,
A,USD,STD,INDL,C,UNH,2015-03-31,010903,1282.0000,15577.0000,378.0000,,,1413.0000,35756.0000,35756.0000,-8204.0000,373.0000,1194.0000,0.0000,416.0000,378.0000,378.0000,2269.0000,
A,USD,STD,INDL,C,UNH,2015-06-30,010903,1286.0000,15378.0000,379.0000,,,1585.0000,36263.0000,36263.0000,-8175.0000,716.0000,1086.0000,0.0000,416.0000,757.0000,757.0000,3432.0000,
A,USD,STD,INDL,C,UNH,2015-09-30,010903,2781.0000,26015.0000,452.0000,,,1597.0000,41489.0000,41489.0000,-10018.0000,1072.0000,2665.0000,11982.0000,416.0000,1209.0000,1209.0000,6229.0000,
A,USD,STD,INDL,C,UNH,2015-12-31,010903,2647.0000,25460.0000,484.0000,,,1218.0000,43599.0000,43599.0000,-11259.0000,1556.0000,3666.0000,11982.0000,1041.0000,1693.0000,1693.0000,9740.0000,
A,USD,STD,INDL,C,UNH,2016-03-31,010903,2802.0000,27218.0000,502.0000,,,1611.0000,44527.0000,44527.0000,-12540.0000,425.0000,-285.0000,2485.0000,601.0000,502.0000,502.0000,2318.0000,
A,USD,STD,INDL,C,UNH,2016-06-30,010903,2253.0000,26834.0000,511.0000,,,1754.0000,46485.0000,46485.0000,-14078.0000,813.0000,124.0000,2485.0000,1601.0000,1013.0000,1013.0000,4001.0000,
A,USD,STD,INDL,C,UNH,2016-09-30,010903,2522.0000,26022.0000,515.0000,,,1968.0000,46293.0000,46293.0000,-15328.0000,1220.0000,693.0000,2485.0000,2101.0000,1528.0000,1528.0000,11204.0000,
A,USD,STD,INDL,C,UNH,2016-12-31,010903,3560.0000,25777.0000,527.0000,,,1684.0000,47535.0000,47535.0000,-15373.0000,1705.0000,-382.0000,3968.0000,2596.0000,2055.0000,2055.0000,9795.0000,
A,USD,STD,INDL,C,UNH,2017-03-31,010903,4245.0000,26154.0000,533.0000,,,2172.0000,48723.0000,48723.0000,-16554.0000,507.0000,-139.0000,1342.0000,1392.0000,533.0000,533.0000,6456.0000,
A,USD,STD,INDL,C,UNH,2017-06-30,010903,3485.0000,26197.0000,556.0000,,,2284.0000,50053.0000,50053.0000,-15882.0000,925.0000,-1396.0000,1342.0000,2117.0000,1089.0000,1089.0000,8627.0000,
A,USD,STD,INDL,C,UNH,2017-09-30,010903,4236.0000,24723.0000,578.0000,,,2485.0000,50322.0000,50322.0000,-17167.0000,1391.0000,-3352.0000,1342.0000,2867.0000,1667.0000,1667.0000,16173.0000,
A,USD,STD,INDL,C,UNH,2017-12-31,010903,2707.0000,28835.0000,578.0000,,,3617.0000,52061.0000,52061.0000,-13379.0000,2023.0000,-3508.0000,5291.0000,4398.0000,2245.0000,2245.0000,13596.0000,
A,USD,STD,INDL,C,UNH,2018-03-31,010903,2956.0000,28206.0000,582.0000,,,2836.0000,55188.0000,55188.0000,-19314.0000,477.0000,4259.0000,0.0000,1100.0000,582.0000,582.0000,8369.0000,
A,USD,STD,INDL,C,UNH,2018-06-30,010903,2959.0000,32096.0000,598.0000,,,2922.0000,56086.0000,56086.0000,-15418.0000,960.0000,-181.0000,3964.0000,1100.0000,1180.0000,1180.0000,12376.0000,
A,USD,STD,INDL,C,UNH,2018-09-30,010903,1480.0000,32053.0000,611.0000,,,3188.0000,56556.0000,56556.0000,-17623.0000,1505.0000,-164.0000,3964.0000,2600.0000,1791.0000,1791.0000,13317.0000,
A,USD,STD,INDL,C,UNH,2018-12-31,010903,1973.0000,34581.0000,637.0000,,,3040.0000,58417.0000,58417.0000,-14517.0000,2063.0000,-201.0000,6935.0000,2600.0000,2428.0000,2428.0000,15713.0000,
A,USD,STD,INDL,C,UNH,2019-03-31,010903,802.0000,34419.0000,639.0000,,,3467.0000,60308.0000,60308.0000,-16118.0000,562.0000,3101.0000,0.0000,1250.0000,639.0000,639.0000,3234.0000,
A,USD,STD,INDL,C,UNH,2019-06-30,010903,827.0000,34473.0000,654.0000,,,3293.0000,60595.0000,60595.0000,-20290.0000,977.0000,6924.0000,0.0000,1250.0000,1293.0000,1293.0000,9108.0000,
A,USD,STD,INDL,C,UNH,2019-09-30,010903,2307.0000,38507.0000,709.0000,,,3538.0000,60351.0000,60351.0000,-19100.0000,1421.0000,3998.0000,5444.0000,1250.0000,2002.0000,2002.0000,12258.0000,
A,USD,STD,INDL,C,UNH,2019-12-31,010903,3470.0000,36808.0000,718.0000,,,3541.0000,60901.0000,60901.0000,-19148.0000,2071.0000,300.0000,5444.0000,1750.0000,2720.0000,2720.0000,18463.0000,
