costat,curcdq,datafmt,indfmt,consol,tic,datadate,gvkey,dd1q,dlttq,dpq,findlcq,findltq,niq,revtq,saleq,wcapq,capxy,dlcchy,dltisy,dltry,dpcy,dpy,oancfy,wcapcy
A,USD,STD,INDL,C,XOM,2009-03-31,004503,,7041.0000,2793.0000,,,4550.0000,56222.0000,56222.0000,15313.0000,4673.0000,-203.0000,22.0000,11.0000,2793.0000,2793.0000,8910.0000,
A,USD,STD,INDL,C,XOM,2009-06-30,004503,,7117.0000,3004.0000,,,3950.0000,65951.0000,65951.0000,7882.0000,10238.0000,-350.0000,145.0000,20.0000,5797.0000,5797.0000,11107.0000,
A,USD,STD,INDL,C,XOM,2009-09-30,004503,,7185.0000,2927.0000,,,4730.0000,73285.0000,73285.0000,4391.0000,15728.0000,-202.0000,192.0000,27.0000,8724.0000,8724.0000,19934.0000,
A,USD,STD,INDL,C,XOM,2009-12-31,004503,,7129.0000,3193.0000,,,6050.0000,80106.0000,80106.0000,3174.0000,22491.0000,-310.0000,225.0000,68.0000,11917.0000,11917.0000,28438.0000,
A,USD,STD,INDL,C,XOM,2010-03-31,004503,,7054.0000,3280.0000,,,6300.0000,80222.0000,80222.0000,3952.0000,5756.0000,-121.0000,27.0000,3.0000,3280.0000,3280.0000,13046.0000,
A,USD,STD,INDL,C,XOM,2010-06-30,004503,,17486.0000,3366.0000,,,7560.0000,82747.0000,82747.0000,4395.0000,11400.0000,-697.0000,33.0000,16.0000,6646.0000,6646.0000,22281.0000,
A,USD,STD,INDL,C,XOM,2010-09-30,004503,,15248.0000,3844.0000,,,7350.0000,85181.0000,85181.0000,893.0000,19201.0000,-729.0000,374.0000,2587.0000,10490.0000,10490.0000,35358.0000,
A,USD,STD,INDL,C,XOM,2010-12-31,004503,,12227.0000,4270.0000,,,9250.0000,93428.0000,93428.0000,-3649.0000,26871.0000,-1129.0000,1143.0000,6224.0000,14760.0000,14760.0000,48413.0000,
A,USD,STD,INDL,C,XOM,2011-03-31,004503,,12316.0000,3761.0000,,,10650.0000,101335.0000,101335.0000,-1554.0000,7051.0000,743.0000,98.0000,29.0000,3761.0000,3761.0000,16856.0000,
A,USD,STD,INDL,C,XOM,2011-06-30,004503,,12123.0000,3881.0000,,,10680.0000,112781.0000,112781.0000,-2228.0000,14863.0000,1182.0000,249.0000,43.0000,7642.0000,7642.0000,29745.0000,
A,USD,STD,INDL,C,XOM,2011-09-30,004503,,9331.0000,3866.0000,,,10330.0000,111991.0000,111991.0000,-5595.0000,22341.0000,1414.0000,457.0000,236.0000,11508.0000,11508.0000,44594.0000,
A,USD,STD,INDL,C,XOM,2011-12-31,004503,3431.0000,9322.0000,4075.0000,,,9400.0000,107419.0000,107419.0000,-4542.0000,30975.0000,1521.0000,702.0000,266.0000,15583.0000,15583.0000,55345.0000,
A,USD,STD,INDL,C,XOM,2012-03-31,004503,,9231.0000,3842.0000,,,9450.0000,110696.0000,110696.0000,-3834.0000,7843.0000,-527.0000,129.0000,5.0000,3842.0000,3842.0000,19287.0000,
A,USD,STD,INDL,C,XOM,2012-06-30,004503,,8877.0000,3899.0000,,,15910.0000,104143.0000,104143.0000,2661.0000,16188.0000,-214.0000,389.0000,11.0000,7741.0000,7741.0000,29504.0000,
A,USD,STD,INDL,C,XOM,2012-09-30,004503,,8928.0000,4037.0000,,,9570.0000,102852.0000,102852.0000,2077.0000,24214.0000,-3506.0000,597.0000,15.0000,11778.0000,11778.0000,42946.0000,
A,USD,STD,INDL,C,XOM,2012-12-31,004503,1025.0000,7928.0000,4110.0000,,,9950.0000,101409.0000,101409.0000,321.0000,34271.0000,-3756.0000,995.0000,147.0000,15888.0000,15888.0000,56170.0000,
A,USD,STD,INDL,C,XOM,2013-03-31,004503,,7475.0000,4110.0000,,,9500.0000,95886.0000,95886.0000,-7490.0000,7494.0000,1587.0000,5.0000,0.0000,4110.0000,4110.0000,13592.0000,
A,USD,STD,INDL,C,XOM,2013-06-30,004503,,7496.0000,4405.0000,,,6860.0000,95498.0000,95498.0000,-9844.0000,16145.0000,7566.0000,202.0000,0.0000,8515.0000,8515.0000,21275.0000,
A,USD,STD,INDL,C,XOM,2013-09-30,004503,,7404.0000,4287.0000,,,7870.0000,100508.0000,100508.0000,-11446.0000,25243.0000,9483.0000,206.0000,0.0000,12802.0000,12802.0000,34706.0000,
A,USD,STD,INDL,C,XOM,2013-12-31,004503,1034.0000,6891.0000,4380.0000,,,8350.0000,98355.0000,98355.0000,-12416.0000,33669.0000,11272.0000,345.0000,13.0000,17182.0000,17182.0000,44914.0000,
A,USD,STD,INDL,C,XOM,2014-03-31,004503,,12144.0000,4192.0000,,,9100.0000,93896.0000,93896.0000,-8244.0000,7328.0000,-6668.0000,5500.0000,0.0000,4192.0000,4192.0000,15103.0000,
A,USD,STD,INDL,C,XOM,2014-06-30,004503,,11817.0000,4285.0000,,,8780.0000,97848.0000,97848.0000,-5516.0000,15870.0000,-6236.0000,5500.0000,0.0000,8477.0000,8477.0000,25305.0000,
A,USD,STD,INDL,C,XOM,2014-09-30,004503,,11591.0000,4362.0000,,,8070.0000,95687.0000,95687.0000,-7389.0000,24068.0000,-5927.0000,5503.0000,0.0000,12839.0000,12839.0000,37701.0000,
A,USD,STD,INDL,C,XOM,2014-12-31,004503,770.0000,11653.0000,4458.0000,,,6570.0000,77332.0000,77332.0000,-11723.0000,32952.0000,1304.0000,5731.0000,69.0000,17297.0000,17297.0000,45116.0000,
A,USD,STD,INDL,C,XOM,2015-03-31,004503,,19494.0000,4300.0000,,,4940.0000,59228.0000,59228.0000,-5275.0000,6844.0000,-4113.0000,8000.0000,10.0000,4300.0000,4300.0000,7998.0000,
A,USD,STD,INDL,C,XOM,2015-06-30,004503,,19431.0000,4451.0000,,,4190.0000,65395.0000,65395.0000,-6725.0000,13953.0000,-3187.0000,8000.0000,13.0000,8751.0000,8751.0000,16790.0000,
