update,timestep,episode,elapsed_time,episode_return_pct,episode_sharpe,episode_sortino,episode_max_dd,episode_volatility,episode_win_rate,episode_turnover,episode_turnover_pct,episode_return_skew,episode_calmar_ratio,episode_omega_ratio,episode_ulcer_index,episode_cvar_5pct,profile_name,turnover_scalar,terminal_drawdown_lambda,terminal_drawdown_lambda_peak,terminal_drawdown_avg_excess,terminal_drawdown_penalty_sum,snapshot_drawdown_lambda,snapshot_drawdown_lambda_peak,snapshot_drawdown_current,snapshot_drawdown_avg_excess,snapshot_drawdown_penalty_sum,snapshot_drawdown_triggered,snapshot_drawdown_trigger_boundary,snapshot_drawdown_target,snapshot_drawdown_tolerance,snapshot_intra_step_tape_potential,snapshot_intra_step_tape_delta_reward,drawdown_lambda,tape_score,tape_bonus,tape_bonus_raw,tape_terminal_bonus_mode,tape_terminal_baseline,tape_terminal_neutral_band_applied,tape_terminal_neutral_band_halfwidth,tape_gate_a_triggered,tape_gate_a_sharpe,tape_gate_a_max_drawdown_abs,terminal_intra_step_tape_potential,terminal_intra_step_tape_delta_reward,drawdown_avg_excess,drawdown_penalty_sum,initial_balance,final_balance,next_profile_name,next_profile_reason,actor_loss,critic_loss,critic_loss_scaled,risk_aux_total,risk_aux_sharpe_proxy,risk_aux_sharpe_loss,risk_aux_mvo_loss,mean_advantage,policy_entropy,policy_loss,entropy_loss,approx_kl,clip_fraction,value_clip_fraction,explained_variance,actor_grad_norm,critic_grad_norm,alpha_min,alpha_max,alpha_mean,ratio_mean,ratio_std,drawdown_lambda_peak,episode_length,termination_reason
1,256,1,45.9970862865448,0.2966719128675177,0.047490169240197985,0.0620810151490651,23.657609140360233,0.23748689788946173,53.38645418326693,0.7186475992202759,71.86475992202759,-0.01331841571115437,0.012540232240179798,1.0242059426941486,0.0755063290846951,-0.038145905537256074,BalancedGrowth,2.0,0.0,0.5017085605226592,0.001477935245335172,0.3664532405838741,0.0,0.0,0.0054703740823015545,0.0,0.0,False,0.16499999999999998,0.18,-0.015,,0.0,0.0,0.1930078338381602,-0.2097649848551944,-0.2097649848551944,signed,0.2,False,0.005,False,0.047490169240197985,0.23657609140360233,0.19834775022347625,-2.3896458014619205e-05,0.001477935245335172,0.3664532405838741,100000.0,100296.67191286752,,,0.0999019518494606,10.235570907592773,5.117785453796387,-0.0053982785902917385,0.10837242752313614,-0.005418621469289064,2.0343028154456988e-05,1.1175870895385742e-08,-16.32761001586914,0.07264501601457596,0.03265522047877312,0.1171228289604187,0.734375,0.296875,-0.0035524368286132812,1.2191684246063232,12.787956237792969,0.9656286835670471,2.558192253112793,1.7695891857147217,0.951806366443634,0.32832470536231995,0.5017085605226592,252.0,episode_limit
2,512,2,81.57785224914551,4.06710536258432,0.23911006143359137,0.3614128959134791,6.9215991247466535,0.10965718453686549,52.191235059760956,0.6518730521202087,65.18730521202087,-0.2919246482524043,0.5875962027392312,1.0694301967233095,0.024696839081639287,-0.016288278604910073,BalancedGrowth,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023231029837053607,0.0,0.0,False,0.16499999999999998,0.18,-0.015,,0.0,0.0,0.2429639677496964,0.32222975812272286,0.32222975812272286,signed,0.2,False,0.005,False,0.23911006143359137,0.06921599124746654,0.2141975172382175,7.863557663203846e-06,0.0,0.0,100000.0,104067.10536258432,,,0.03367739915847778,0.0811019092798233,0.04055095463991165,0.011241849511861801,-0.2239825576543808,0.01119912788271904,4.272203295840882e-05,0.0,-16.419172286987305,-0.010402796790003777,0.03283834457397461,0.05427703261375427,0.59375,0.078125,0.0224267840385437,2.6156179904937744,0.4241923391819,1.3070544004440308,2.718993663787842,1.973448634147644,0.9552525281906128,0.12480972707271576,0.0,252.0,episode_limit
3,768,3,119.46682286262512,6.310250681074408,0.4403074936697933,0.6781695542189052,6.293986622992316,0.10769500933547503,52.589641434262944,0.6660677790641785,66.60677790641785,-0.18095447916162039,1.0025840630201976,1.1052279938845277,0.025493286399727293,-0.014723419742139518,BalancedGrowth,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005203256456046024,0.0,0.0,False,0.16499999999999998,0.18,-0.015,,0.0,0.0,0.2785226569444407,0.5889199270833054,0.5889199270833054,signed,0.2,False,0.005,False,0.4403074936697933,0.06293986622992316,0.7271067553340931,0.0003705041850319735,0.0,0.0,100000.0,106310.25068107441,,,0.03743674419820309,0.0830925963819027,0.04154629819095135,-0.0015644754457753152,0.03254900057800114,-0.001627449833904393,6.297436948443647e-05,1.4901161193847656e-08,-16.44408941268921,0.006113037467002869,0.03288818057626486,0.006524361670017242,0.58984375,0.61328125,0.017929017543792725,2.71674308180809,0.15774506889283657,1.2841671705245972,2.751510202884674,1.994253933429718,1.0092717111110687,0.18214155361056328,0.0,252.0,episode_limit
4,1024,4,155.02141690254211,7.407373774554217,0.3226013734822109,0.39050894294909205,31.51724746996573,0.3310940341718456,54.18326693227091,0.7065041661262512,70.65041661262512,-0.24707608631528732,0.23502603714404477,1.0788900661694085,0.09667227317301877,-0.05472287858933302,BalancedGrowth,2.0,0.0,0.13204112545634802,0.005275529512833659,0.1889772457738131,0.0,0.0,0.0020913396733146516,0.0,0.0,False,0.16499999999999998,0.18,-0.015,,0.0,0.0,0.19246418587476144,-0.22607442375715714,-0.22607442375715714,signed,0.2,False,0.005,True,0.3226013734822109,0.3151724746996573,0.6622515496142852,-0.00010866071343649919,0.005275529512833659,0.1889772457738131,100000.0,107407.37377455422,,,0.09776828438043594,0.23954130709171295,0.11977065354585648,0.00475273048505187,-0.09387442469596863,0.004693721421062946,5.900884934817441e-05,4.656612873077393e-10,-16.32840347290039,0.060358740389347076,0.03265680745244026,0.06909716129302979,0.6875,0.21875,-0.07067704200744629,2.485177993774414,0.33041614294052124,1.0639089345932007,2.690462112426758,1.8392468690872192,0.9709213972091675,0.26571470499038696,0.13204112545634802,252.0,episode_limit
5,1280,5,190.74126291275024,10.643801577205696,0.8449418097783983,1.2824206973941943,5.638771060340637,0.1030346165004413,51.39442231075697,0.6706261038780212,67.06261038780212,-0.32202478962083275,1.887610165992926,1.1795866636319805,0.021958921690239924,-0.014429810963055604,BalancedGrowth,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.16499999999999998,0.18,-0.015,0.7225972959921009,0.007225972959921009,0.0,0.43916228703837673,1.7937171527878255,1.7937171527878255,signed,0.2,False,0.005,False,0.8449418097783983,0.05638771060340637,0.21651780875622634,1.695582448009436e-05,0.0,0.0,100000.0,110643.8015772057,,,0.15161557495594025,0.11971953511238098,0.05985976755619049,0.0037469228263944387,-0.07418609410524368,0.0037093048449605703,3.7617959605995566e-05,-3.725290298461914e-09,-16.439382553100586,0.11498987674713135,0.03287876769900322,0.03393089771270752,0.734375,0.046875,0.0415310263633728,1.5224272012710571,0.09088075160980225,1.055153727531433,2.58225679397583,1.9846819639205933,0.985231876373291,0.19280338287353516,0.0,252.0,episode_limit
6,1536,6,228.9819734096527,16.666085710821164,1.8910077006533015,2.734113286410844,3.7656359714097274,0.07278777803463365,57.37051792828686,0.6706652045249939,67.06652045249939,-0.16860547430417852,4.425835592541873,1.4500142778048368,0.01228139847556216,-0.010294523730709082,BalancedGrowth,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010835632982937549,0.0,0.0,False,0.16499999999999998,0.18,-0.015,0.6514756732526938,0.0010528572914324074,0.0,0.6319234857630276,3.239426143222707,3.239426143222707,signed,0.2,False,0.005,False,1.8910077006533015,0.037656359714097275,0.7315530433946551,4.1758152277249217e-07,0.0,0.0,100000.0,116666.08571082116,,,0.032813118770718575,0.09901534207165241,0.049507671035826206,-0.004686965454311576,0.0943646002560854,-0.0047182301204884425,3.1264479730452877e-05,-1.1175870895385742e-08,-16.473105430603027,0.004553871229290962,0.0329462131485343,-0.0005067586898803711,0.59375,0.265625,0.0060408711433410645,1.9582551717758179,0.2742104269564152,1.15316641330719,2.577624499797821,1.9806946516036987,1.0203666985034943,0.20647772774100304,0.0,252.0,episode_limit
7,1792,7,267.13008403778076,4.918970125975218,0.3044317731139634,0.4913277542264453,10.952918112175697,0.11490338650693964,51.79282868525896,0.6460210084915161,64.60210084915161,0.14721877828696625,0.4491013331421785,1.0825016325749777,0.0483478418474506,-0.01564652402334638,BalancedGrowth,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08275308539461934,0.0,0.0,False,0.16499999999999998,0.18,-0.015,0.2065969493265241,9.618431133440741e-06,0.0,0.260271731985852,0.45203798989389005,0.45203798989389005,signed,0.2,False,0.005,False,0.3044317731139634,0.10952918112175697,0.5262890107507777,-0.0007885562658577084,0.0,0.0,100000.0,104918.97012597522,,,0.034117958042770624,0.16647914797067642,0.08323957398533821,0.0018115911370841786,-0.035445020301267505,0.0017722510019666515,3.934013284379034e-05,2.2351741790771484e-08,-16.43779230117798,-0.000569220632314682,0.03287558630108833,0.008804157376289368,0.625,0.54296875,0.03649914264678955,1.9658147394657135,0.3394087664783001,1.2083984017372131,2.579569458961487,1.9885842502117157,1.010167509317398,0.19980530813336372,0.0,252.0,episode_limit
8,2048,8,302.8977036476135,-35.9648480130295,-1.0392964654213788,-1.4058306300104746,45.083862016010336,0.38011726700021825,47.410358565737056,0.7134173512458801,71.34173512458801,0.3111346850535846,-0.7977321907395055,0.8259059711134882,0.20648315271875656,-0.060936417880278045,BalancedGrowth,2.0,1.410336247910851,1.410336247910851,0.05598330377305588,19.37881063904885,0.8475505285889646,0.9872353735375956,0.0802245960006237,0.0,0.0,False,0.16499999999999998,0.18,-0.015,0.2190122927610492,-2.0264941229534706e-05,1.410336247910851,0.16767441457589433,-0.9697675627231706,-0.9697675627231706,signed,0.2,False,0.005,True,-1.0392964654213788,0.45083862016010334,0.19199566825358058,6.18685726226026e-05,0.05598330377305588,19.37881063904885,100000.0,64035.15198697049,,,-0.07842639088630676,0.6681511402130127,0.33407557010650635,0.006468131206929684,-0.12834404408931732,0.0064172022975981236,5.0928920245496556e-05,7.450580596923828e-09,-16.280517578125,-0.11745555698871613,0.0325610376894474,0.03775402903556824,0.6875,0.3125,0.022527873516082764,4.598316192626953,1.7768207788467407,0.799746036529541,2.7978549003601074,1.820050835609436,1.0134634971618652,0.30396610498428345,1.410336247910851,252.0,episode_limit
9,2304,9,341.494371175766,15.094319600821022,0.9401718123933669,1.2833200906036974,8.022459600062373,0.1394122763634084,55.37848605577689,0.6682078242301941,66.82078242301941,-0.33026651534629026,1.8815077112639704,1.204957714567219,0.024887999332979235,-0.020424200006926838,BalancedGrowth,2.0,0.0,0.9872353735375956,0.0,0.0,0.0,0.0,0.03940818122828149,0.0,0.0,False,0.16499999999999998,0.18,-0.015,0.21634211178256857,5.683002464380027e-06,0.0,0.46523191689513144,1.9892393767134857,1.9892393767134857,signed,0.2,False,0.005,False,0.9401718123933669,0.08022459600062372,0.21205944483798705,-4.397884958231263e-05,0.0,0.0,100000.0,115094.31960082102,,,0.03381393291056156,0.09965447708964348,0.04982723854482174,-0.0036300268839113414,0.07361138425767422,-0.0036805692070629448,5.054244684288278e-05,-7.450580596923828e-09,-16.416971683502197,0.004610016942024231,0.032833945006132126,0.0023474842309951782,0.65234375,0.15234375,0.04984760284423828,2.1413854360580444,0.2806675974279642,1.048338621854782,2.5746678709983826,1.9605647325515747,1.013125628232956,0.17449036985635757,0.9872353735375956,252.0,episode_limit
10,2560,10,379.44016218185425,1.1263689812789526,-0.012740950606819809,-0.019880362027298246,10.556344442929486,0.11895709414041748,49.00398406374502,0.6967337131500244,69.67337131500244,0.14826232221636718,0.10670066587618605,1.026537697630396,0.043013028361017336,-0.016061911951981294,BalancedGrowth,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0317211485876272,0.0,0.0,False,0.16499999999999998,0.18,-0.015,0.21568042648064706,2.626921716789299e-06,0.0,0.22510565605581065,-0.1882924204185798,-0.1882924204185798,signed,0.2,False,0.005,True,-0.012740950606819809,0.10556344442929487,0.5539200387168591,0.0005437142021110003,0.0,0.0,100000.0,101126.36898127895,,,0.03777856030501425,0.17205311357975006,0.08602655678987503,0.0015395652153529227,-0.030159120447933674,0.0015079560107551515,3.16092978209781e-05,7.450580596923828e-09,-16.46208143234253,0.003314831294119358,0.032924164086580276,0.012170180678367615,0.59765625,0.015625,0.060301125049591064,2.270973652601242,0.25310748256742954,0.909168541431427,2.5846431255340576,1.9792603850364685,1.005897879600525,0.193847868591547,0.0,252.0,episode_limit
